Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424680876.139881
Reading Number, Reading, Measure Function, Measure Range, Status
1, 6.344706e-07, Current, 1e-06, 140
2, 5.593398e-07, Current, 1e-06, 140
3, 5.621856e-07, Current, 1e-06, 140
4, 5.631899e-07, Current, 1e-06, 140
5, 5.637916e-07, Current, 1e-06, 140
6, 5.623306e-07, Current, 1e-06, 140
7, 5.58941e-07, Current, 1e-06, 140
8, 5.552069e-07, Current, 1e-06, 140
9, 5.518898e-07, Current, 1e-06, 140
10, 5.487901e-07, Current, 1e-06, 140
11, 5.459842e-07, Current, 1e-06, 140
12, 5.455854e-07, Current, 1e-06, 140
13, 5.449147e-07, Current, 1e-06, 140
14, 5.470174e-07, Current, 1e-06, 140
15, 5.504614e-07, Current, 1e-06, 140
16, 5.538438e-07, Current, 1e-06, 140
17, 5.584479e-07, Current, 1e-06, 140
18, 5.610546e-07, Current, 1e-06, 140
19, 5.630774e-07, Current, 1e-06, 140
20, 5.635053e-07, Current, 1e-06, 140
21, 5.634618e-07, Current, 1e-06, 140
22, 5.605978e-07, Current, 1e-06, 140
23, 5.579114e-07, Current, 1e-06, 140
24, 5.540359e-07, Current, 1e-06, 140
25, 5.509871e-07, Current, 1e-06, 140
26, 5.468869e-07, Current, 1e-06, 140
27, 5.449836e-07, Current, 1e-06, 140
28, 5.447334e-07, Current, 1e-06, 140
29, 5.457159e-07, Current, 1e-06, 140
30, 5.479599e-07, Current, 1e-06, 140
31, 5.517157e-07, Current, 1e-06, 140
32, 5.559683e-07, Current, 1e-06, 140
33, 5.594667e-07, Current, 1e-06, 140
34, 5.62008e-07, Current, 1e-06, 140
35, 5.63585e-07, Current, 1e-06, 140
36, 5.634291e-07, Current, 1e-06, 140
37, 5.623125e-07, Current, 1e-06, 140
38, 5.594086e-07, Current, 1e-06, 140
39, 5.560661e-07, Current, 1e-06, 140
40, 5.524734e-07, Current, 1e-06, 140
41, 5.495224e-07, Current, 1e-06, 140
42, 5.462633e-07, Current, 1e-06, 140
43, 5.454403e-07, Current, 1e-06, 140
44, 5.455781e-07, Current, 1e-06, 140
