Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424680825.960128
Reading Number, Reading, Measure Function, Measure Range, Status
1, 5.433317e-07, Current, 1e-06, 140
2, 4.461331e-07, Current, 1e-06, 140
3, 4.452594e-07, Current, 1e-06, 140
4, 4.466914e-07, Current, 1e-06, 140
5, 4.49519e-07, Current, 1e-06, 140
6, 4.520603e-07, Current, 1e-06, 140
7, 4.55207e-07, Current, 1e-06, 140
8, 4.575343e-07, Current, 1e-06, 140
9, 4.596079e-07, Current, 1e-06, 140
10, 4.60449e-07, Current, 1e-06, 140
11, 4.596623e-07, Current, 1e-06, 140
12, 4.579984e-07, Current, 1e-06, 140
13, 4.550692e-07, Current, 1e-06, 140
14, 4.526838e-07, Current, 1e-06, 140
15, 4.499867e-07, Current, 1e-06, 140
16, 4.466624e-07, Current, 1e-06, 140
17, 4.450783e-07, Current, 1e-06, 140
18, 4.447701e-07, Current, 1e-06, 140
19, 4.455422e-07, Current, 1e-06, 140
20, 4.477065e-07, Current, 1e-06, 140
21, 4.507661e-07, Current, 1e-06, 140
22, 4.53427e-07, Current, 1e-06, 140
23, 4.564794e-07, Current, 1e-06, 140
24, 4.587234e-07, Current, 1e-06, 140
25, 4.604671e-07, Current, 1e-06, 140
26, 4.600792e-07, Current, 1e-06, 140
27, 4.586545e-07, Current, 1e-06, 140
28, 4.564286e-07, Current, 1e-06, 140
29, 4.531007e-07, Current, 1e-06, 140
30, 4.511213e-07, Current, 1e-06, 140
31, 4.483372e-07, Current, 1e-06, 140
32, 4.461113e-07, Current, 1e-06, 140
33, 4.454516e-07, Current, 1e-06, 140
34, 4.452994e-07, Current, 1e-06, 140
35, 4.469633e-07, Current, 1e-06, 140
36, 4.491855e-07, Current, 1e-06, 140
37, 4.522488e-07, Current, 1e-06, 140
38, 4.555477e-07, Current, 1e-06, 140
39, 4.580636e-07, Current, 1e-06, 140
40, 4.593542e-07, Current, 1e-06, 140
41, 4.597022e-07, Current, 1e-06, 140
42, 4.594774e-07, Current, 1e-06, 140
43, 4.578643e-07, Current, 1e-06, 140
44, 4.552505e-07, Current, 1e-06, 140
45, 4.512591e-07, Current, 1e-06, 140
46, 4.484496e-07, Current, 1e-06, 140
47, 4.461911e-07, Current, 1e-06, 140
48, 4.451942e-07, Current, 1e-06, 140
49, 4.4568e-07, Current, 1e-06, 140
50, 4.473294e-07, Current, 1e-06, 140
51, 4.499903e-07, Current, 1e-06, 140
52, 4.526331e-07, Current, 1e-06, 140
53, 4.559501e-07, Current, 1e-06, 140
54, 4.582812e-07, Current, 1e-06, 140
55, 4.591765e-07, Current, 1e-06, 140
56, 4.604527e-07, Current, 1e-06, 140
57, 4.595898e-07, Current, 1e-06, 140
58, 4.571826e-07, Current, 1e-06, 140
59, 4.544166e-07, Current, 1e-06, 140
60, 4.514694e-07, Current, 1e-06, 140
61, 4.485221e-07, Current, 1e-06, 140
62, 4.463143e-07, Current, 1e-06, 140
63, 4.453827e-07, Current, 1e-06, 140
64, 4.453863e-07, Current, 1e-06, 140
65, 4.465211e-07, Current, 1e-06, 140
66, 4.49356e-07, Current, 1e-06, 140
67, 4.517087e-07, Current, 1e-06, 140
68, 4.555333e-07, Current, 1e-06, 140
69, 4.576648e-07, Current, 1e-06, 140
70, 4.594231e-07, Current, 1e-06, 140
71, 4.601191e-07, Current, 1e-06, 140
72, 4.592744e-07, Current, 1e-06, 140
73, 4.57654e-07, Current, 1e-06, 140
74, 4.551852e-07, Current, 1e-06, 140
75, 4.527854e-07, Current, 1e-06, 140
76, 4.498127e-07, Current, 1e-06, 140
77, 4.475216e-07, Current, 1e-06, 140
78, 4.455495e-07, Current, 1e-06, 140
79, 4.452812e-07, Current, 1e-06, 140
80, 4.463941e-07, Current, 1e-06, 140
81, 4.484351e-07, Current, 1e-06, 140
82, 4.510489e-07, Current, 1e-06, 140
83, 4.541484e-07, Current, 1e-06, 140
84, 4.566606e-07, Current, 1e-06, 140
85, 4.591657e-07, Current, 1e-06, 140
86, 4.602895e-07, Current, 1e-06, 140
87, 4.603584e-07, Current, 1e-06, 140
88, 4.586183e-07, Current, 1e-06, 140
89, 4.561315e-07, Current, 1e-06, 140
90, 4.532928e-07, Current, 1e-06, 140
91, 4.505486e-07, Current, 1e-06, 140
92, 4.48417e-07, Current, 1e-06, 140
93, 4.456655e-07, Current, 1e-06, 140
94, 4.452341e-07, Current, 1e-06, 140
95, 4.461005e-07, Current, 1e-06, 140
96, 4.476013e-07, Current, 1e-06, 140
97, 4.507371e-07, Current, 1e-06, 140
98, 4.529449e-07, Current, 1e-06, 140
99, 4.567187e-07, Current, 1e-06, 140
100, 4.581361e-07, Current, 1e-06, 140
101, 4.594085e-07, Current, 1e-06, 140
102, 4.598037e-07, Current, 1e-06, 140
103, 4.591657e-07, Current, 1e-06, 140
104, 4.576794e-07, Current, 1e-06, 140
105, 4.547937e-07, Current, 1e-06, 140
106, 4.51589e-07, Current, 1e-06, 140
107, 4.492943e-07, Current, 1e-06, 140
108, 4.470938e-07, Current, 1e-06, 140
109, 4.456691e-07, Current, 1e-06, 140
110, 4.454516e-07, Current, 1e-06, 140
111, 4.464557e-07, Current, 1e-06, 140
112, 4.49026e-07, Current, 1e-06, 140
113, 4.520458e-07, Current, 1e-06, 140
114, 4.543152e-07, Current, 1e-06, 140
115, 4.579041e-07, Current, 1e-06, 140
116, 4.594412e-07, Current, 1e-06, 140
117, 4.607717e-07, Current, 1e-06, 140
118, 4.605868e-07, Current, 1e-06, 140
119, 4.580165e-07, Current, 1e-06, 140
120, 4.559501e-07, Current, 1e-06, 140
121, 4.526005e-07, Current, 1e-06, 140
122, 4.503927e-07, Current, 1e-06, 140
123, 4.480327e-07, Current, 1e-06, 140
124, 4.460788e-07, Current, 1e-06, 140
125, 4.449477e-07, Current, 1e-06, 140
126, 4.460679e-07, Current, 1e-06, 140
127, 4.480944e-07, Current, 1e-06, 140
128, 4.502224e-07, Current, 1e-06, 140
129, 4.532457e-07, Current, 1e-06, 140
130, 4.569869e-07, Current, 1e-06, 140
131, 4.589337e-07, Current, 1e-06, 140
132, 4.60652e-07, Current, 1e-06, 140
133, 4.601916e-07, Current, 1e-06, 140
134, 4.592889e-07, Current, 1e-06, 140
135, 4.571682e-07, Current, 1e-06, 140
136, 4.541992e-07, Current, 1e-06, 140
