Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424272488.330725
Reading Number, Reading, Measure Function, Measure Range, Status
1, 7.864195e-05, Current, 0.0001, 12
2, 7.920864e-05, Current, 0.0001, 12
3, 7.979226e-05, Current, 0.0001, 12
4, 8.015174e-05, Current, 0.0001, 12
5, 8.051544e-05, Current, 0.0001, 12
6, 8.051544e-05, Current, 0.0001, 12
7, 8.044355e-05, Current, 0.0001, 12
8, 8.022786e-05, Current, 0.0001, 12
9, 7.972883e-05, Current, 0.0001, 12
10, 7.952582e-05, Current, 0.0001, 12
11, 7.900988e-05, Current, 0.0001, 12
12, 7.854468e-05, Current, 0.0001, 12
13, 7.810909e-05, Current, 0.0001, 12
14, 7.776229e-05, Current, 0.0001, 12
15, 7.745357e-05, Current, 0.0001, 12
16, 7.755084e-05, Current, 0.0001, 12
17, 7.755507e-05, Current, 0.0001, 12
18, 7.758467e-05, Current, 0.0001, 12
19, 7.798221e-05, Current, 0.0001, 12
20, 7.826133e-05, Current, 0.0001, 12
21, 7.897181e-05, Current, 0.0001, 12
22, 7.929746e-05, Current, 0.0001, 12
23, 7.984302e-05, Current, 0.0001, 12
24, 8.011367e-05, Current, 0.0001, 12
25, 8.028707e-05, Current, 0.0001, 12
26, 8.043931e-05, Current, 0.0001, 12
27, 8.057042e-05, Current, 0.0001, 12
28, 8.01602e-05, Current, 0.0001, 12
29, 7.996566e-05, Current, 0.0001, 12
30, 7.93482e-05, Current, 0.0001, 12
31, 7.909023e-05, Current, 0.0001, 12
32, 7.860389e-05, Current, 0.0001, 12
33, 7.822326e-05, Current, 0.0001, 12
34, 7.797375e-05, Current, 0.0001, 12
35, 7.773269e-05, Current, 0.0001, 12
36, 7.747894e-05, Current, 0.0001, 12
37, 7.736898e-05, Current, 0.0001, 12
38, 7.744935e-05, Current, 0.0001, 12
39, 7.776653e-05, Current, 0.0001, 12
40, 7.799912e-05, Current, 0.0001, 12
41, 7.837975e-05, Current, 0.0001, 12
42, 7.875191e-05, Current, 0.0001, 12
43, 7.926785e-05, Current, 0.0001, 12
44, 7.990222e-05, Current, 0.0001, 12
45, 8.004601e-05, Current, 0.0001, 12
46, 8.026169e-05, Current, 0.0001, 12
47, 8.036742e-05, Current, 0.0001, 12
48, 8.041395e-05, Current, 0.0001, 12
49, 8.042663e-05, Current, 0.0001, 12
50, 8.015597e-05, Current, 0.0001, 12
51, 7.974575e-05, Current, 0.0001, 12
52, 7.947085e-05, Current, 0.0001, 12
53, 7.886186e-05, Current, 0.0001, 12
54, 7.85489e-05, Current, 0.0001, 12
55, 7.827824e-05, Current, 0.0001, 12
56, 7.787648e-05, Current, 0.0001, 12
57, 7.759735e-05, Current, 0.0001, 12
58, 7.737322e-05, Current, 0.0001, 12
59, 7.739436e-05, Current, 0.0001, 12
60, 7.76608e-05, Current, 0.0001, 12
61, 7.799912e-05, Current, 0.0001, 12
62, 7.810909e-05, Current, 0.0001, 12
63, 7.842627e-05, Current, 0.0001, 12
64, 7.894645e-05, Current, 0.0001, 12
65, 7.951738e-05, Current, 0.0001, 12
66, 7.988107e-05, Current, 0.0001, 12
67, 8.029129e-05, Current, 0.0001, 12
68, 8.051544e-05, Current, 0.0001, 12
69, 8.051121e-05, Current, 0.0001, 12
70, 8.053659e-05, Current, 0.0001, 12
71, 8.038012e-05, Current, 0.0001, 12
72, 8.004178e-05, Current, 0.0001, 12
73, 7.960619e-05, Current, 0.0001, 12
74, 7.916635e-05, Current, 0.0001, 12
75, 7.881534e-05, Current, 0.0001, 12
76, 7.843895e-05, Current, 0.0001, 12
77, 7.786802e-05, Current, 0.0001, 12
78, 7.754238e-05, Current, 0.0001, 12
79, 7.744088e-05, Current, 0.0001, 12
80, 7.729285e-05, Current, 0.0001, 12
81, 7.747048e-05, Current, 0.0001, 12
82, 7.772423e-05, Current, 0.0001, 12
83, 7.794415e-05, Current, 0.0001, 12
84, 7.842203e-05, Current, 0.0001, 12
85, 7.877727e-05, Current, 0.0001, 12
86, 7.919596e-05, Current, 0.0001, 12
87, 7.95935e-05, Current, 0.0001, 12
88, 7.998681e-05, Current, 0.0001, 12
89, 8.038012e-05, Current, 0.0001, 12
90, 8.028284e-05, Current, 0.0001, 12
91, 8.051544e-05, Current, 0.0001, 12
92, 8.040549e-05, Current, 0.0001, 12
93, 8.021518e-05, Current, 0.0001, 12
94, 7.990645e-05, Current, 0.0001, 12
95, 7.959772e-05, Current, 0.0001, 12
96, 7.909447e-05, Current, 0.0001, 12
97, 7.867155e-05, Current, 0.0001, 12
98, 7.818098e-05, Current, 0.0001, 12
99, 7.803296e-05, Current, 0.0001, 12
100, 7.75466e-05, Current, 0.0001, 12
101, 7.742819e-05, Current, 0.0001, 12
102, 7.734362e-05, Current, 0.0001, 12
103, 7.735207e-05, Current, 0.0001, 12
104, 7.76185e-05, Current, 0.0001, 12
105, 7.804564e-05, Current, 0.0001, 12
106, 7.847278e-05, Current, 0.0001, 12
107, 7.891683e-05, Current, 0.0001, 12
108, 7.942433e-05, Current, 0.0001, 12
109, 7.990222e-05, Current, 0.0001, 12
110, 8.003332e-05, Current, 0.0001, 12
111, 8.023633e-05, Current, 0.0001, 12
112, 8.030822e-05, Current, 0.0001, 12
113, 8.043509e-05, Current, 0.0001, 12
114, 8.031667e-05, Current, 0.0001, 12
115, 8.004601e-05, Current, 0.0001, 12
116, 7.972036e-05, Current, 0.0001, 12
117, 7.931014e-05, Current, 0.0001, 12
118, 7.894221e-05, Current, 0.0001, 12
119, 7.85489e-05, Current, 0.0001, 12
120, 7.816406e-05, Current, 0.0001, 12
121, 7.791031e-05, Current, 0.0001, 12
122, 7.753392e-05, Current, 0.0001, 12
123, 7.739013e-05, Current, 0.0001, 12
124, 7.737745e-05, Current, 0.0001, 12
125, 7.75466e-05, Current, 0.0001, 12
126, 7.774961e-05, Current, 0.0001, 12
127, 7.829939e-05, Current, 0.0001, 12
128, 7.853199e-05, Current, 0.0001, 12
129, 7.890838e-05, Current, 0.0001, 12
130, 7.95216e-05, Current, 0.0001, 12
131, 7.995297e-05, Current, 0.0001, 12
132, 8.01602e-05, Current, 0.0001, 12
133, 8.042663e-05, Current, 0.0001, 12
134, 8.044778e-05, Current, 0.0001, 12
135, 8.041817e-05, Current, 0.0001, 12
136, 8.015174e-05, Current, 0.0001, 12
137, 7.988107e-05, Current, 0.0001, 12
138, 7.950891e-05, Current, 0.0001, 12
139, 7.916213e-05, Current, 0.0001, 12
140, 7.875191e-05, Current, 0.0001, 12
141, 7.830362e-05, Current, 0.0001, 12
142, 7.785534e-05, Current, 0.0001, 12
143, 7.75889e-05, Current, 0.0001, 12
144, 7.747471e-05, Current, 0.0001, 12
145, 7.739013e-05, Current, 0.0001, 12
146, 7.740282e-05, Current, 0.0001, 12
147, 7.769886e-05, Current, 0.0001, 12
148, 7.805834e-05, Current, 0.0001, 12
149, 7.846433e-05, Current, 0.0001, 12
150, 7.895489e-05, Current, 0.0001, 12
151, 7.945393e-05, Current, 0.0001, 12
152, 7.96527e-05, Current, 0.0001, 12
153, 8.022363e-05, Current, 0.0001, 12
154, 8.042663e-05, Current, 0.0001, 12
155, 8.040125e-05, Current, 0.0001, 12
156, 8.04943e-05, Current, 0.0001, 12
157, 8.036742e-05, Current, 0.0001, 12
158, 8.008407e-05, Current, 0.0001, 12
159, 7.968232e-05, Current, 0.0001, 12
160, 7.923825e-05, Current, 0.0001, 12
161, 7.880689e-05, Current, 0.0001, 12
162, 7.857429e-05, Current, 0.0001, 12
163, 7.821481e-05, Current, 0.0001, 12
164, 7.790185e-05, Current, 0.0001, 12
165, 7.766925e-05, Current, 0.0001, 12
166, 7.744088e-05, Current, 0.0001, 12
167, 7.741973e-05, Current, 0.0001, 12
168, 7.771578e-05, Current, 0.0001, 12
169, 7.778767e-05, Current, 0.0001, 12
170, 7.807947e-05, Current, 0.0001, 12
171, 7.861657e-05, Current, 0.0001, 12
172, 7.88957e-05, Current, 0.0001, 12
173, 7.949623e-05, Current, 0.0001, 12
174, 7.988107e-05, Current, 0.0001, 12
175, 8.007139e-05, Current, 0.0001, 12
176, 8.032936e-05, Current, 0.0001, 12
177, 8.037588e-05, Current, 0.0001, 12
178, 8.048161e-05, Current, 0.0001, 12
179, 8.016865e-05, Current, 0.0001, 12
180, 7.983878e-05, Current, 0.0001, 12
181, 7.957235e-05, Current, 0.0001, 12
182, 7.909869e-05, Current, 0.0001, 12
183, 7.868846e-05, Current, 0.0001, 12
184, 7.824441e-05, Current, 0.0001, 12
185, 7.799912e-05, Current, 0.0001, 12
186, 7.768616e-05, Current, 0.0001, 12
187, 7.734784e-05, Current, 0.0001, 12
188, 7.732247e-05, Current, 0.0001, 12
189, 7.745357e-05, Current, 0.0001, 12
190, 7.758044e-05, Current, 0.0001, 12
191, 7.790185e-05, Current, 0.0001, 12
192, 7.842627e-05, Current, 0.0001, 12
193, 7.890838e-05, Current, 0.0001, 12
194, 7.927631e-05, Current, 0.0001, 12
195, 7.995297e-05, Current, 0.0001, 12
196, 8.013482e-05, Current, 0.0001, 12
197, 8.026593e-05, Current, 0.0001, 12
198, 8.041395e-05, Current, 0.0001, 12
199, 8.038434e-05, Current, 0.0001, 12
200, 8.051544e-05, Current, 0.0001, 12
201, 8.019403e-05, Current, 0.0001, 12
202, 7.988107e-05, Current, 0.0001, 12
203, 7.93905e-05, Current, 0.0001, 12
204, 7.887455e-05, Current, 0.0001, 12
205, 7.857005e-05, Current, 0.0001, 12
206, 7.806256e-05, Current, 0.0001, 12
207, 7.777921e-05, Current, 0.0001, 12
208, 7.755507e-05, Current, 0.0001, 12
209, 7.741973e-05, Current, 0.0001, 12
210, 7.733516e-05, Current, 0.0001, 12
211, 7.74874e-05, Current, 0.0001, 12
212, 7.794837e-05, Current, 0.0001, 12
213, 7.81979e-05, Current, 0.0001, 12
214, 7.853622e-05, Current, 0.0001, 12
215, 7.922133e-05, Current, 0.0001, 12
216, 7.971191e-05, Current, 0.0001, 12
217, 8.002909e-05, Current, 0.0001, 12
218, 8.029553e-05, Current, 0.0001, 12
219, 8.055774e-05, Current, 0.0001, 12
220, 8.049852e-05, Current, 0.0001, 12
221, 8.049006e-05, Current, 0.0001, 12
222, 8.01179e-05, Current, 0.0001, 12
223, 7.977113e-05, Current, 0.0001, 12
224, 7.924248e-05, Current, 0.0001, 12
225, 7.88534e-05, Current, 0.0001, 12
226, 7.857851e-05, Current, 0.0001, 12
227, 7.797375e-05, Current, 0.0001, 12
228, 7.771154e-05, Current, 0.0001, 12
229, 7.747894e-05, Current, 0.0001, 12
230, 7.733516e-05, Current, 0.0001, 12
231, 7.733516e-05, Current, 0.0001, 12
232, 7.779189e-05, Current, 0.0001, 12
233, 7.800336e-05, Current, 0.0001, 12
234, 7.843049e-05, Current, 0.0001, 12
235, 7.903949e-05, Current, 0.0001, 12
236, 7.94201e-05, Current, 0.0001, 12
237, 7.980917e-05, Current, 0.0001, 12
238, 8.019826e-05, Current, 0.0001, 12
239, 8.035896e-05, Current, 0.0001, 12
240, 8.044355e-05, Current, 0.0001, 12
241, 8.044778e-05, Current, 0.0001, 12
242, 8.022786e-05, Current, 0.0001, 12
243, 7.997411e-05, Current, 0.0001, 12
244, 7.977535e-05, Current, 0.0001, 12
245, 7.933976e-05, Current, 0.0001, 12
246, 7.881111e-05, Current, 0.0001, 12
247, 7.862927e-05, Current, 0.0001, 12
248, 7.793991e-05, Current, 0.0001, 12
249, 7.770308e-05, Current, 0.0001, 12
250, 7.747048e-05, Current, 0.0001, 12
251, 7.738167e-05, Current, 0.0001, 12
252, 7.739858e-05, Current, 0.0001, 12
253, 7.747471e-05, Current, 0.0001, 12
254, 7.775806e-05, Current, 0.0001, 12
255, 7.826133e-05, Current, 0.0001, 12
256, 7.870961e-05, Current, 0.0001, 12
257, 7.922979e-05, Current, 0.0001, 12
258, 7.953429e-05, Current, 0.0001, 12
259, 7.98853e-05, Current, 0.0001, 12
260, 8.01602e-05, Current, 0.0001, 12
261, 8.032936e-05, Current, 0.0001, 12
262, 8.038012e-05, Current, 0.0001, 12
263, 8.038857e-05, Current, 0.0001, 12
264, 8.034628e-05, Current, 0.0001, 12
265, 7.988107e-05, Current, 0.0001, 12
266, 7.955121e-05, Current, 0.0001, 12
267, 7.917904e-05, Current, 0.0001, 12
268, 7.881957e-05, Current, 0.0001, 12
269, 7.843471e-05, Current, 0.0001, 12
270, 7.794837e-05, Current, 0.0001, 12
271, 7.769463e-05, Current, 0.0001, 12
272, 7.745357e-05, Current, 0.0001, 12
273, 7.750432e-05, Current, 0.0001, 12
274, 7.742397e-05, Current, 0.0001, 12
275, 7.777921e-05, Current, 0.0001, 12
276, 7.781727e-05, Current, 0.0001, 12
277, 7.836705e-05, Current, 0.0001, 12
278, 7.861657e-05, Current, 0.0001, 12
279, 7.923825e-05, Current, 0.0001, 12
280, 7.96527e-05, Current, 0.0001, 12
281, 8.007139e-05, Current, 0.0001, 12
282, 8.024901e-05, Current, 0.0001, 12
283, 8.048584e-05, Current, 0.0001, 12
284, 8.047315e-05, Current, 0.0001, 12
285, 8.035474e-05, Current, 0.0001, 12
286, 8.016443e-05, Current, 0.0001, 12
287, 7.972883e-05, Current, 0.0001, 12
288, 7.946239e-05, Current, 0.0001, 12
289, 7.901411e-05, Current, 0.0001, 12
290, 7.851508e-05, Current, 0.0001, 12
291, 7.813868e-05, Current, 0.0001, 12
292, 7.788917e-05, Current, 0.0001, 12
293, 7.756775e-05, Current, 0.0001, 12
294, 7.73859e-05, Current, 0.0001, 12
295, 7.730132e-05, Current, 0.0001, 12
296, 7.744511e-05, Current, 0.0001, 12
297, 7.783842e-05, Current, 0.0001, 12
298, 7.813445e-05, Current, 0.0001, 12
299, 7.865886e-05, Current, 0.0001, 12
300, 7.88534e-05, Current, 0.0001, 12
301, 7.949623e-05, Current, 0.0001, 12
302, 7.988107e-05, Current, 0.0001, 12
303, 8.020672e-05, Current, 0.0001, 12
304, 8.036318e-05, Current, 0.0001, 12
305, 8.050698e-05, Current, 0.0001, 12
306, 8.031244e-05, Current, 0.0001, 12
307, 8.015597e-05, Current, 0.0001, 12
308, 7.993183e-05, Current, 0.0001, 12
309, 7.977957e-05, Current, 0.0001, 12
310, 7.928901e-05, Current, 0.0001, 12
311, 7.870116e-05, Current, 0.0001, 12
312, 7.855314e-05, Current, 0.0001, 12
313, 7.817674e-05, Current, 0.0001, 12
314, 7.763965e-05, Current, 0.0001, 12
315, 7.752546e-05, Current, 0.0001, 12
316, 7.738167e-05, Current, 0.0001, 12
317, 7.734784e-05, Current, 0.0001, 12
318, 7.761005e-05, Current, 0.0001, 12
319, 7.800336e-05, Current, 0.0001, 12
320, 7.834168e-05, Current, 0.0001, 12
321, 7.864618e-05, Current, 0.0001, 12
322, 7.913252e-05, Current, 0.0001, 12
323, 7.983878e-05, Current, 0.0001, 12
324, 8.006292e-05, Current, 0.0001, 12
325, 8.03209e-05, Current, 0.0001, 12
326, 8.047315e-05, Current, 0.0001, 12
327, 8.049852e-05, Current, 0.0001, 12
328, 8.051544e-05, Current, 0.0001, 12
329, 8.021094e-05, Current, 0.0001, 12
330, 7.977113e-05, Current, 0.0001, 12
331, 7.939895e-05, Current, 0.0001, 12
332, 7.902679e-05, Current, 0.0001, 12
333, 7.858697e-05, Current, 0.0001, 12
334, 7.833746e-05, Current, 0.0001, 12
335, 7.795259e-05, Current, 0.0001, 12
336, 7.746626e-05, Current, 0.0001, 12
337, 7.737322e-05, Current, 0.0001, 12
338, 7.732247e-05, Current, 0.0001, 12
339, 7.745779e-05, Current, 0.0001, 12
340, 7.771154e-05, Current, 0.0001, 12
341, 7.806679e-05, Current, 0.0001, 12
342, 7.853199e-05, Current, 0.0001, 12
343, 7.880265e-05, Current, 0.0001, 12
344, 7.942433e-05, Current, 0.0001, 12
345, 7.976689e-05, Current, 0.0001, 12
346, 8.018556e-05, Current, 0.0001, 12
347, 8.038857e-05, Current, 0.0001, 12
348, 8.060002e-05, Current, 0.0001, 12
349, 8.04943e-05, Current, 0.0001, 12
350, 8.047738e-05, Current, 0.0001, 12
351, 8.009675e-05, Current, 0.0001, 12
352, 7.964847e-05, Current, 0.0001, 12
353, 7.942857e-05, Current, 0.0001, 12
354, 7.88957e-05, Current, 0.0001, 12
355, 7.857429e-05, Current, 0.0001, 12
356, 7.821481e-05, Current, 0.0001, 12
357, 7.782996e-05, Current, 0.0001, 12
358, 7.756775e-05, Current, 0.0001, 12
359, 7.745357e-05, Current, 0.0001, 12
360, 7.762273e-05, Current, 0.0001, 12
361, 7.770308e-05, Current, 0.0001, 12
362, 7.772846e-05, Current, 0.0001, 12
363, 7.824018e-05, Current, 0.0001, 12
364, 7.877305e-05, Current, 0.0001, 12
365, 7.909869e-05, Current, 0.0001, 12
366, 7.958504e-05, Current, 0.0001, 12
367, 7.994875e-05, Current, 0.0001, 12
368, 8.03209e-05, Current, 0.0001, 12
369, 8.037165e-05, Current, 0.0001, 12
370, 8.036318e-05, Current, 0.0001, 12
371, 8.049006e-05, Current, 0.0001, 12
372, 8.025324e-05, Current, 0.0001, 12
373, 8.008831e-05, Current, 0.0001, 12
374, 7.972036e-05, Current, 0.0001, 12
375, 7.922133e-05, Current, 0.0001, 12
376, 7.877727e-05, Current, 0.0001, 12
377, 7.837552e-05, Current, 0.0001, 12
378, 7.793569e-05, Current, 0.0001, 12
379, 7.774538e-05, Current, 0.0001, 12
380, 7.763542e-05, Current, 0.0001, 12
381, 7.741973e-05, Current, 0.0001, 12
382, 7.755929e-05, Current, 0.0001, 12
383, 7.771578e-05, Current, 0.0001, 12
384, 7.798221e-05, Current, 0.0001, 12
385, 7.837975e-05, Current, 0.0001, 12
386, 7.880265e-05, Current, 0.0001, 12
387, 7.917058e-05, Current, 0.0001, 12
388, 7.983456e-05, Current, 0.0001, 12
389, 8.013905e-05, Current, 0.0001, 12
390, 8.03928e-05, Current, 0.0001, 12
391, 8.06254e-05, Current, 0.0001, 12
392, 8.071421e-05, Current, 0.0001, 12
393, 8.06254e-05, Current, 0.0001, 12
394, 8.026169e-05, Current, 0.0001, 12
395, 8.002064e-05, Current, 0.0001, 12
396, 7.96231e-05, Current, 0.0001, 12
397, 7.923825e-05, Current, 0.0001, 12
398, 7.874345e-05, Current, 0.0001, 12
399, 7.845163e-05, Current, 0.0001, 12
400, 7.798644e-05, Current, 0.0001, 12
401, 7.770731e-05, Current, 0.0001, 12
402, 7.75466e-05, Current, 0.0001, 12
403, 7.736898e-05, Current, 0.0001, 12
404, 7.743243e-05, Current, 0.0001, 12
405, 7.779612e-05, Current, 0.0001, 12
406, 7.795683e-05, Current, 0.0001, 12
407, 7.858697e-05, Current, 0.0001, 12
408, 7.887032e-05, Current, 0.0001, 12
409, 7.932284e-05, Current, 0.0001, 12
410, 7.971191e-05, Current, 0.0001, 12
411, 8.007562e-05, Current, 0.0001, 12
412, 8.035896e-05, Current, 0.0001, 12
413, 8.052812e-05, Current, 0.0001, 12
414, 8.067192e-05, Current, 0.0001, 12
415, 8.047315e-05, Current, 0.0001, 12
416, 8.023209e-05, Current, 0.0001, 12
417, 7.981341e-05, Current, 0.0001, 12
418, 7.936935e-05, Current, 0.0001, 12
419, 7.894645e-05, Current, 0.0001, 12
420, 7.865886e-05, Current, 0.0001, 12
421, 7.820212e-05, Current, 0.0001, 12
422, 7.768194e-05, Current, 0.0001, 12
423, 7.762697e-05, Current, 0.0001, 12
424, 7.738167e-05, Current, 0.0001, 12
425, 7.755929e-05, Current, 0.0001, 12
426, 7.772e-05, Current, 0.0001, 12
427, 7.795683e-05, Current, 0.0001, 12
428, 7.847701e-05, Current, 0.0001, 12
429, 7.890838e-05, Current, 0.0001, 12
430, 7.950046e-05, Current, 0.0001, 12
431, 7.998681e-05, Current, 0.0001, 12
432, 8.024478e-05, Current, 0.0001, 12
433, 8.048584e-05, Current, 0.0001, 12
434, 8.043509e-05, Current, 0.0001, 12
435, 8.031667e-05, Current, 0.0001, 12
436, 8.028707e-05, Current, 0.0001, 12
437, 7.996988e-05, Current, 0.0001, 12
438, 7.927209e-05, Current, 0.0001, 12
439, 7.899296e-05, Current, 0.0001, 12
440, 7.852776e-05, Current, 0.0001, 12
441, 7.818098e-05, Current, 0.0001, 12
442, 7.759313e-05, Current, 0.0001, 12
