Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424272504.844566
Reading Number, Reading, Measure Function, Measure Range, Status
1, 6.593375e-05, Current, 0.0001, 12
2, 6.663146e-05, Current, 0.0001, 12
3, 6.689787e-05, Current, 0.0001, 12
4, 6.732918e-05, Current, 0.0001, 12
5, 6.747295e-05, Current, 0.0001, 12
6, 6.777741e-05, Current, 0.0001, 12
7, 6.790004e-05, Current, 0.0001, 12
8, 6.781969e-05, Current, 0.0001, 12
9, 6.764209e-05, Current, 0.0001, 12
10, 6.735454e-05, Current, 0.0001, 12
11, 6.707123e-05, Current, 0.0001, 12
12, 6.654689e-05, Current, 0.0001, 12
13, 6.63566e-05, Current, 0.0001, 12
14, 6.587454e-05, Current, 0.0001, 12
15, 6.570962e-05, Current, 0.0001, 12
16, 6.54094e-05, Current, 0.0001, 12
17, 6.543055e-05, Current, 0.0001, 12
18, 6.547283e-05, Current, 0.0001, 12
19, 6.555318e-05, Current, 0.0001, 12
20, 6.579421e-05, Current, 0.0001, 12
21, 6.62086e-05, Current, 0.0001, 12
22, 6.650038e-05, Current, 0.0001, 12
23, 6.6919e-05, Current, 0.0001, 12
24, 6.730381e-05, Current, 0.0001, 12
25, 6.784084e-05, Current, 0.0001, 12
26, 6.780701e-05, Current, 0.0001, 12
27, 6.785352e-05, Current, 0.0001, 12
28, 6.788735e-05, Current, 0.0001, 12
29, 6.765055e-05, Current, 0.0001, 12
30, 6.723615e-05, Current, 0.0001, 12
31, 6.70078e-05, Current, 0.0001, 12
32, 6.659341e-05, Current, 0.0001, 12
33, 6.637351e-05, Current, 0.0001, 12
34, 6.601831e-05, Current, 0.0001, 12
35, 6.556162e-05, Current, 0.0001, 12
36, 6.551089e-05, Current, 0.0001, 12
37, 6.533328e-05, Current, 0.0001, 12
38, 6.526563e-05, Current, 0.0001, 12
39, 6.529523e-05, Current, 0.0001, 12
40, 6.539671e-05, Current, 0.0001, 12
41, 6.576882e-05, Current, 0.0001, 12
42, 6.611135e-05, Current, 0.0001, 12
43, 6.64285e-05, Current, 0.0001, 12
44, 6.68598e-05, Current, 0.0001, 12
45, 6.750254e-05, Current, 0.0001, 12
46, 6.753638e-05, Current, 0.0001, 12
47, 6.787889e-05, Current, 0.0001, 12
48, 6.777317e-05, Current, 0.0001, 12
49, 6.782392e-05, Current, 0.0001, 12
50, 6.773089e-05, Current, 0.0001, 12
51, 6.757866e-05, Current, 0.0001, 12
52, 6.71558e-05, Current, 0.0001, 12
53, 6.672449e-05, Current, 0.0001, 12
54, 6.651306e-05, Current, 0.0001, 12
55, 6.607752e-05, Current, 0.0001, 12
56, 6.584917e-05, Current, 0.0001, 12
57, 6.556586e-05, Current, 0.0001, 12
58, 6.5439e-05, Current, 0.0001, 12
59, 6.525717e-05, Current, 0.0001, 12
60, 6.554471e-05, Current, 0.0001, 12
61, 6.552781e-05, Current, 0.0001, 12
62, 6.586609e-05, Current, 0.0001, 12
63, 6.603523e-05, Current, 0.0001, 12
64, 6.660186e-05, Current, 0.0001, 12
65, 6.693169e-05, Current, 0.0001, 12
66, 6.730803e-05, Current, 0.0001, 12
67, 6.759557e-05, Current, 0.0001, 12
68, 6.77182e-05, Current, 0.0001, 12
69, 6.785775e-05, Current, 0.0001, 12
70, 6.788735e-05, Current, 0.0001, 12
71, 6.770976e-05, Current, 0.0001, 12
72, 6.768438e-05, Current, 0.0001, 12
73, 6.723615e-05, Current, 0.0001, 12
74, 6.689787e-05, Current, 0.0001, 12
75, 6.655535e-05, Current, 0.0001, 12
76, 6.625512e-05, Current, 0.0001, 12
77, 6.603523e-05, Current, 0.0001, 12
78, 6.567157e-05, Current, 0.0001, 12
79, 6.557009e-05, Current, 0.0001, 12
80, 6.528255e-05, Current, 0.0001, 12
81, 6.533328e-05, Current, 0.0001, 12
82, 6.549397e-05, Current, 0.0001, 12
83, 6.547283e-05, Current, 0.0001, 12
84, 6.594643e-05, Current, 0.0001, 12
85, 6.618747e-05, Current, 0.0001, 12
86, 6.668644e-05, Current, 0.0001, 12
87, 6.710083e-05, Current, 0.0001, 12
88, 6.743489e-05, Current, 0.0001, 12
89, 6.770552e-05, Current, 0.0001, 12
90, 6.768438e-05, Current, 0.0001, 12
91, 6.797615e-05, Current, 0.0001, 12
92, 6.776895e-05, Current, 0.0001, 12
93, 6.759135e-05, Current, 0.0001, 12
94, 6.730381e-05, Current, 0.0001, 12
95, 6.699512e-05, Current, 0.0001, 12
96, 6.676254e-05, Current, 0.0001, 12
97, 6.646654e-05, Current, 0.0001, 12
98, 6.603947e-05, Current, 0.0001, 12
99, 6.574769e-05, Current, 0.0001, 12
100, 6.548129e-05, Current, 0.0001, 12
101, 6.541786e-05, Current, 0.0001, 12
102, 6.52614e-05, Current, 0.0001, 12
103, 6.533328e-05, Current, 0.0001, 12
104, 6.558701e-05, Current, 0.0001, 12
105, 6.575192e-05, Current, 0.0001, 12
106, 6.611135e-05, Current, 0.0001, 12
107, 6.661032e-05, Current, 0.0001, 12
108, 6.710507e-05, Current, 0.0001, 12
109, 6.737991e-05, Current, 0.0001, 12
110, 6.758289e-05, Current, 0.0001, 12
111, 6.777317e-05, Current, 0.0001, 12
112, 6.777741e-05, Current, 0.0001, 12
113, 6.784084e-05, Current, 0.0001, 12
114, 6.773089e-05, Current, 0.0001, 12
115, 6.762941e-05, Current, 0.0001, 12
116, 6.730803e-05, Current, 0.0001, 12
117, 6.688095e-05, Current, 0.0001, 12
118, 6.6623e-05, Current, 0.0001, 12
119, 6.618323e-05, Current, 0.0001, 12
120, 6.589569e-05, Current, 0.0001, 12
121, 6.57054e-05, Current, 0.0001, 12
122, 6.546437e-05, Current, 0.0001, 12
123, 6.51726e-05, Current, 0.0001, 12
124, 6.522334e-05, Current, 0.0001, 12
