Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424272649.043551
Reading Number, Reading, Measure Function, Measure Range, Status
1, 3.191985e-05, Current, 0.0001, 12
2, 3.227515e-05, Current, 0.0001, 12
3, 3.232591e-05, Current, 0.0001, 12
4, 3.247818e-05, Current, 0.0001, 12
5, 3.272774e-05, Current, 0.0001, 12
6, 3.291385e-05, Current, 0.0001, 12
7, 3.301959e-05, Current, 0.0001, 12
8, 3.293077e-05, Current, 0.0001, 12
9, 3.309996e-05, Current, 0.0001, 12
10, 3.298153e-05, Current, 0.0001, 12
11, 3.282925e-05, Current, 0.0001, 12
12, 3.250779e-05, Current, 0.0001, 12
13, 3.250356e-05, Current, 0.0001, 12
14, 3.233436e-05, Current, 0.0001, 12
15, 3.214402e-05, Current, 0.0001, 12
16, 3.204673e-05, Current, 0.0001, 12
17, 3.176334e-05, Current, 0.0001, 12
18, 3.185639e-05, Current, 0.0001, 12
19, 3.186486e-05, Current, 0.0001, 12
20, 3.190292e-05, Current, 0.0001, 12
21, 3.18987e-05, Current, 0.0001, 12
22, 3.222439e-05, Current, 0.0001, 12
23, 3.248241e-05, Current, 0.0001, 12
24, 3.263891e-05, Current, 0.0001, 12
25, 3.278695e-05, Current, 0.0001, 12
26, 3.301959e-05, Current, 0.0001, 12
27, 3.289694e-05, Current, 0.0001, 12
28, 3.302805e-05, Current, 0.0001, 12
29, 3.304497e-05, Current, 0.0001, 12
30, 3.275734e-05, Current, 0.0001, 12
31, 3.274466e-05, Current, 0.0001, 12
32, 3.240204e-05, Current, 0.0001, 12
33, 3.221593e-05, Current, 0.0001, 12
34, 3.236397e-05, Current, 0.0001, 12
35, 3.193676e-05, Current, 0.0001, 12
36, 3.198752e-05, Current, 0.0001, 12
37, 3.184794e-05, Current, 0.0001, 12
38, 3.192408e-05, Current, 0.0001, 12
39, 3.182256e-05, Current, 0.0001, 12
40, 3.175911e-05, Current, 0.0001, 12
41, 3.197906e-05, Current, 0.0001, 12
42, 3.216517e-05, Current, 0.0001, 12
43, 3.223286e-05, Current, 0.0001, 12
44, 3.257546e-05, Current, 0.0001, 12
45, 3.27785e-05, Current, 0.0001, 12
46, 3.276581e-05, Current, 0.0001, 12
47, 3.29223e-05, Current, 0.0001, 12
48, 3.282925e-05, Current, 0.0001, 12
49, 3.287577e-05, Current, 0.0001, 12
50, 3.301537e-05, Current, 0.0001, 12
51, 3.28927e-05, Current, 0.0001, 12
52, 3.283771e-05, Current, 0.0001, 12
53, 3.257123e-05, Current, 0.0001, 12
54, 3.236821e-05, Current, 0.0001, 12
55, 3.21694e-05, Current, 0.0001, 12
56, 3.219055e-05, Current, 0.0001, 12
57, 3.192408e-05, Current, 0.0001, 12
58, 3.204673e-05, Current, 0.0001, 12
59, 3.196214e-05, Current, 0.0001, 12
60, 3.178449e-05, Current, 0.0001, 12
61, 3.175065e-05, Current, 0.0001, 12
62, 3.196637e-05, Current, 0.0001, 12
63, 3.199598e-05, Current, 0.0001, 12
64, 3.229207e-05, Current, 0.0001, 12
65, 3.251625e-05, Current, 0.0001, 12
66, 3.268122e-05, Current, 0.0001, 12
67, 3.266007e-05, Current, 0.0001, 12
68, 3.287577e-05, Current, 0.0001, 12
69, 3.290116e-05, Current, 0.0001, 12
70, 3.285041e-05, Current, 0.0001, 12
71, 3.303228e-05, Current, 0.0001, 12
72, 3.296038e-05, Current, 0.0001, 12
73, 3.284618e-05, Current, 0.0001, 12
74, 3.263045e-05, Current, 0.0001, 12
75, 3.251202e-05, Current, 0.0001, 12
76, 3.244435e-05, Current, 0.0001, 12
77, 3.213979e-05, Current, 0.0001, 12
78, 3.199598e-05, Current, 0.0001, 12
79, 3.184371e-05, Current, 0.0001, 12
80, 3.175065e-05, Current, 0.0001, 12
81, 3.182256e-05, Current, 0.0001, 12
82, 3.175065e-05, Current, 0.0001, 12
83, 3.179295e-05, Current, 0.0001, 12
84, 3.185639e-05, Current, 0.0001, 12
85, 3.207635e-05, Current, 0.0001, 12
86, 3.232591e-05, Current, 0.0001, 12
87, 3.250356e-05, Current, 0.0001, 12
88, 3.266429e-05, Current, 0.0001, 12
89, 3.274466e-05, Current, 0.0001, 12
90, 3.293923e-05, Current, 0.0001, 12
91, 3.301537e-05, Current, 0.0001, 12
92, 3.30492e-05, Current, 0.0001, 12
93, 3.298999e-05, Current, 0.0001, 12
94, 3.292653e-05, Current, 0.0001, 12
95, 3.295191e-05, Current, 0.0001, 12
96, 3.259238e-05, Current, 0.0001, 12
97, 3.248664e-05, Current, 0.0001, 12
98, 3.238089e-05, Current, 0.0001, 12
99, 3.224977e-05, Current, 0.0001, 12
100, 3.1886e-05, Current, 0.0001, 12
101, 3.183948e-05, Current, 0.0001, 12
102, 3.188177e-05, Current, 0.0001, 12
103, 3.183948e-05, Current, 0.0001, 12
