Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424681015.708631
Reading Number, Reading, Measure Function, Measure Range, Status
1, 1.291434e-07, Current, 1e-06, 140
2, 9.687929e-08, Current, 1e-07, 140
3, 9.698554e-08, Current, 1e-07, 140
4, 9.683713e-08, Current, 1e-07, 140
5, 9.650321e-08, Current, 1e-07, 140
6, 9.607654e-08, Current, 1e-07, 140
7, 9.563637e-08, Current, 1e-07, 140
8, 9.52253e-08, Current, 1e-07, 140
9, 9.498203e-08, Current, 1e-07, 140
10, 9.496389e-08, Current, 1e-07, 140
11, 9.512327e-08, Current, 1e-07, 140
12, 9.543274e-08, Current, 1e-07, 140
13, 9.581472e-08, Current, 1e-07, 140
14, 9.624139e-08, Current, 1e-07, 140
15, 9.661284e-08, Current, 1e-07, 140
16, 9.691765e-08, Current, 1e-07, 140
17, 9.700535e-08, Current, 1e-07, 140
18, 9.68696e-08, Current, 1e-07, 140
19, 9.661957e-08, Current, 1e-07, 140
20, 9.626247e-08, Current, 1e-07, 140
21, 9.589525e-08, Current, 1e-07, 140
22, 9.549681e-08, Current, 1e-07, 140
23, 9.520969e-08, Current, 1e-07, 140
24, 9.501701e-08, Current, 1e-07, 140
25, 9.498118e-08, Current, 1e-07, 140
26, 9.513549e-08, Current, 1e-07, 140
27, 9.540322e-08, Current, 1e-07, 140
28, 9.579195e-08, Current, 1e-07, 140
29, 9.618363e-08, Current, 1e-07, 140
30, 9.652049e-08, Current, 1e-07, 140
31, 9.675576e-08, Current, 1e-07, 140
32, 9.691765e-08, Current, 1e-07, 140
33, 9.692947e-08, Current, 1e-07, 140
34, 9.677093e-08, Current, 1e-07, 140
35, 9.649816e-08, Current, 1e-07, 140
36, 9.611237e-08, Current, 1e-07, 140
37, 9.567979e-08, Current, 1e-07, 140
38, 9.530835e-08, Current, 1e-07, 140
39, 9.502461e-08, Current, 1e-07, 140
40, 9.494492e-08, Current, 1e-07, 140
41, 9.50166e-08, Current, 1e-07, 140
42, 9.526281e-08, Current, 1e-07, 140
43, 9.562583e-08, Current, 1e-07, 140
44, 9.604365e-08, Current, 1e-07, 140
45, 9.64387e-08, Current, 1e-07, 140
46, 9.680003e-08, Current, 1e-07, 140
47, 9.703614e-08, Current, 1e-07, 140
48, 9.70083e-08, Current, 1e-07, 140
49, 9.683671e-08, Current, 1e-07, 140
