Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424771319.470492
Reading Number, Reading, Measure Function, Measure Range, Status
1, 1.833115e-08, Current, 1e-07, 4
2, 1.846058e-08, Current, 1e-07, 4
3, 1.853014e-08, Current, 1e-07, 4
4, 1.85605e-08, Current, 1e-07, 4
5, 1.858116e-08, Current, 1e-07, 4
6, 1.859001e-08, Current, 1e-07, 4
7, 1.859127e-08, Current, 1e-07, 4
8, 1.857821e-08, Current, 1e-07, 4
9, 1.855418e-08, Current, 1e-07, 4
10, 1.852761e-08, Current, 1e-07, 4
11, 1.848967e-08, Current, 1e-07, 4
12, 1.84395e-08, Current, 1e-07, 4
13, 1.839271e-08, Current, 1e-07, 4
14, 1.833958e-08, Current, 1e-07, 4
15, 1.832609e-08, Current, 1e-07, 4
16, 1.83421e-08, Current, 1e-07, 4
17, 1.836867e-08, Current, 1e-07, 4
18, 1.839861e-08, Current, 1e-07, 4
19, 1.842095e-08, Current, 1e-07, 4
20, 1.842854e-08, Current, 1e-07, 4
21, 1.842347e-08, Current, 1e-07, 4
22, 1.840872e-08, Current, 1e-07, 4
23, 1.838764e-08, Current, 1e-07, 4
24, 1.836951e-08, Current, 1e-07, 4
25, 1.833958e-08, Current, 1e-07, 4
26, 1.830838e-08, Current, 1e-07, 4
27, 1.827803e-08, Current, 1e-07, 4
28, 1.824555e-08, Current, 1e-07, 4
29, 1.820846e-08, Current, 1e-07, 4
30, 1.81975e-08, Current, 1e-07, 4
31, 1.823291e-08, Current, 1e-07, 4
32, 1.830838e-08, Current, 1e-07, 4
33, 1.837921e-08, Current, 1e-07, 4
34, 1.834e-08, Current, 1e-07, 4
35, 1.831175e-08, Current, 1e-07, 4
36, 1.83303e-08, Current, 1e-07, 4
37, 1.83615e-08, Current, 1e-07, 4
38, 1.837795e-08, Current, 1e-07, 4
39, 1.837077e-08, Current, 1e-07, 4
40, 1.835475e-08, Current, 1e-07, 4
41, 1.832904e-08, Current, 1e-07, 4
42, 1.829488e-08, Current, 1e-07, 4
43, 1.824555e-08, Current, 1e-07, 4
44, 1.819665e-08, Current, 1e-07, 4
45, 1.818401e-08, Current, 1e-07, 4
46, 1.820087e-08, Current, 1e-07, 4
47, 1.823375e-08, Current, 1e-07, 4
48, 1.826664e-08, Current, 1e-07, 4
49, 1.844751e-08, Current, 1e-07, 4
50, 1.849052e-08, Current, 1e-07, 4
51, 1.851159e-08, Current, 1e-07, 4
52, 1.848882e-08, Current, 1e-07, 4
53, 1.845847e-08, Current, 1e-07, 4
54, 1.843444e-08, Current, 1e-07, 4
55, 1.839987e-08, Current, 1e-07, 4
56, 1.83594e-08, Current, 1e-07, 4
57, 1.832777e-08, Current, 1e-07, 4
58, 1.829151e-08, Current, 1e-07, 4
59, 1.824893e-08, Current, 1e-07, 4
60, 1.823671e-08, Current, 1e-07, 4
61, 1.82776e-08, Current, 1e-07, 4
62, 1.834506e-08, Current, 1e-07, 4
63, 1.841968e-08, Current, 1e-07, 4
64, 1.846817e-08, Current, 1e-07, 4
65, 1.850991e-08, Current, 1e-07, 4
66, 1.853774e-08, Current, 1e-07, 4
67, 1.855881e-08, Current, 1e-07, 4
68, 1.856809e-08, Current, 1e-07, 4
69, 1.856387e-08, Current, 1e-07, 4
70, 1.854194e-08, Current, 1e-07, 4
71, 1.851919e-08, Current, 1e-07, 4
72, 1.848588e-08, Current, 1e-07, 4
73, 1.844202e-08, Current, 1e-07, 4
74, 1.839397e-08, Current, 1e-07, 4
75, 1.834253e-08, Current, 1e-07, 4
76, 1.833073e-08, Current, 1e-07, 4
77, 1.834885e-08, Current, 1e-07, 4
78, 1.837837e-08, Current, 1e-07, 4
79, 1.84083e-08, Current, 1e-07, 4
80, 1.843065e-08, Current, 1e-07, 4
81, 1.843865e-08, Current, 1e-07, 4
82, 1.843065e-08, Current, 1e-07, 4
83, 1.838849e-08, Current, 1e-07, 4
84, 1.824261e-08, Current, 1e-07, 4
85, 1.820045e-08, Current, 1e-07, 4
86, 1.817979e-08, Current, 1e-07, 4
87, 1.815534e-08, Current, 1e-07, 4
88, 1.81351e-08, Current, 1e-07, 4
89, 1.810769e-08, Current, 1e-07, 4
90, 1.807986e-08, Current, 1e-07, 4
91, 1.807523e-08, Current, 1e-07, 4
92, 1.811402e-08, Current, 1e-07, 4
93, 1.818864e-08, Current, 1e-07, 4
94, 1.826284e-08, Current, 1e-07, 4
95, 1.831976e-08, Current, 1e-07, 4
96, 1.836698e-08, Current, 1e-07, 4
97, 1.84024e-08, Current, 1e-07, 4
98, 1.842347e-08, Current, 1e-07, 4
99, 1.857483e-08, Current, 1e-07, 4
100, 1.86111e-08, Current, 1e-07, 4
101, 1.862795e-08, Current, 1e-07, 4
102, 1.860899e-08, Current, 1e-07, 4
103, 1.856935e-08, Current, 1e-07, 4
104, 1.851834e-08, Current, 1e-07, 4
105, 1.846396e-08, Current, 1e-07, 4
106, 1.840745e-08, Current, 1e-07, 4
107, 1.837921e-08, Current, 1e-07, 4
108, 1.838679e-08, Current, 1e-07, 4
109, 1.840577e-08, Current, 1e-07, 4
110, 1.843191e-08, Current, 1e-07, 4
111, 1.845678e-08, Current, 1e-07, 4
112, 1.846268e-08, Current, 1e-07, 4
113, 1.845636e-08, Current, 1e-07, 4
114, 1.844202e-08, Current, 1e-07, 4
