Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424772156.754869
Reading Number, Reading, Measure Function, Measure Range, Status
1, 3.776753e-09, Current, 1e-07, 4
2, 3.659066e-09, Current, 1e-08, 4
3, 3.64498e-09, Current, 1e-08, 4
4, 3.632202e-09, Current, 1e-08, 4
5, 3.615966e-09, Current, 1e-08, 4
6, 3.605297e-09, Current, 1e-08, 4
7, 3.596652e-09, Current, 1e-08, 4
8, 3.590621e-09, Current, 1e-08, 4
9, 3.581597e-09, Current, 1e-08, 4
10, 3.578223e-09, Current, 1e-08, 4
11, 3.580626e-09, Current, 1e-08, 4
12, 3.575861e-09, Current, 1e-08, 4
13, 3.579403e-09, Current, 1e-08, 4
14, 3.591844e-09, Current, 1e-08, 4
15, 3.616599e-09, Current, 1e-08, 4
16, 3.640975e-09, Current, 1e-08, 4
17, 3.657758e-09, Current, 1e-08, 4
18, 3.675851e-09, Current, 1e-08, 4
19, 3.695587e-09, Current, 1e-08, 4
20, 3.71254e-09, Current, 1e-08, 4
21, 3.726499e-09, Current, 1e-08, 4
22, 3.736282e-09, Current, 1e-08, 4
23, 3.737084e-09, Current, 1e-08, 4
24, 3.738813e-09, Current, 1e-08, 4
25, 3.738307e-09, Current, 1e-08, 4
26, 3.728523e-09, Current, 1e-08, 4
27, 3.718107e-09, Current, 1e-08, 4
28, 3.704064e-09, Current, 1e-08, 4
29, 3.693605e-09, Current, 1e-08, 4
30, 3.683315e-09, Current, 1e-08, 4
31, 3.672097e-09, Current, 1e-08, 4
32, 3.660626e-09, Current, 1e-08, 4
33, 3.655862e-09, Current, 1e-08, 4
34, 3.649071e-09, Current, 1e-08, 4
35, 3.637643e-09, Current, 1e-08, 4
36, 3.625835e-09, Current, 1e-08, 4
37, 3.612761e-09, Current, 1e-08, 4
38, 3.600953e-09, Current, 1e-08, 4
39, 3.59488e-09, Current, 1e-08, 4
40, 3.587669e-09, Current, 1e-08, 4
41, 3.578644e-09, Current, 1e-08, 4
42, 3.576452e-09, Current, 1e-08, 4
43, 3.584675e-09, Current, 1e-08, 4
44, 3.574848e-09, Current, 1e-08, 4
45, 3.577716e-09, Current, 1e-08, 4
46, 3.5937e-09, Current, 1e-08, 4
47, 3.6236e-09, Current, 1e-08, 4
48, 3.651644e-09, Current, 1e-08, 4
49, 3.673868e-09, Current, 1e-08, 4
50, 3.695798e-09, Current, 1e-08, 4
51, 3.712456e-09, Current, 1e-08, 4
52, 3.729451e-09, Current, 1e-08, 4
53, 3.737464e-09, Current, 1e-08, 4
54, 3.73953e-09, Current, 1e-08, 4
55, 3.739699e-09, Current, 1e-08, 4
56, 3.738476e-09, Current, 1e-08, 4
57, 3.728987e-09, Current, 1e-08, 4
58, 3.716716e-09, Current, 1e-08, 4
59, 3.703684e-09, Current, 1e-08, 4
60, 3.691243e-09, Current, 1e-08, 4
61, 3.680278e-09, Current, 1e-08, 4
62, 3.667922e-09, Current, 1e-08, 4
63, 3.658223e-09, Current, 1e-08, 4
64, 3.652993e-09, Current, 1e-08, 4
65, 3.646878e-09, Current, 1e-08, 4
66, 3.634311e-09, Current, 1e-08, 4
67, 3.621365e-09, Current, 1e-08, 4
68, 3.607995e-09, Current, 1e-08, 4
69, 3.597664e-09, Current, 1e-08, 4
70, 3.591633e-09, Current, 1e-08, 4
71, 3.581638e-09, Current, 1e-08, 4
72, 3.576915e-09, Current, 1e-08, 4
73, 3.574722e-09, Current, 1e-08, 4
74, 3.588849e-09, Current, 1e-08, 4
75, 3.572403e-09, Current, 1e-08, 4
76, 3.579318e-09, Current, 1e-08, 4
77, 3.595681e-09, Current, 1e-08, 4
78, 3.620394e-09, Current, 1e-08, 4
79, 3.644306e-09, Current, 1e-08, 4
80, 3.66147e-09, Current, 1e-08, 4
81, 3.679772e-09, Current, 1e-08, 4
82, 3.698708e-09, Current, 1e-08, 4
83, 3.716335e-09, Current, 1e-08, 4
84, 3.729494e-09, Current, 1e-08, 4
85, 3.736241e-09, Current, 1e-08, 4
86, 3.737675e-09, Current, 1e-08, 4
87, 3.737253e-09, Current, 1e-08, 4
88, 3.732445e-09, Current, 1e-08, 4
89, 3.720806e-09, Current, 1e-08, 4
