Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424772124.881136
Reading Number, Reading, Measure Function, Measure Range, Status
1, 4.237668e-09, Current, 1e-08, 4
2, 4.264237e-09, Current, 1e-08, 4
3, 4.282455e-09, Current, 1e-08, 4
4, 4.299283e-09, Current, 1e-08, 4
5, 4.316236e-09, Current, 1e-08, 4
6, 4.330574e-09, Current, 1e-08, 4
7, 4.339515e-09, Current, 1e-08, 4
8, 4.338165e-09, Current, 1e-08, 4
9, 4.33475e-09, Current, 1e-08, 4
10, 4.331207e-09, Current, 1e-08, 4
11, 4.319483e-09, Current, 1e-08, 4
12, 4.302572e-09, Current, 1e-08, 4
13, 4.19655e-09, Current, 1e-08, 4
14, 4.16357e-09, Current, 1e-08, 4
15, 4.152142e-09, Current, 1e-08, 4
16, 4.13717e-09, Current, 1e-08, 4
17, 4.121102e-09, Current, 1e-08, 4
18, 4.118109e-09, Current, 1e-08, 4
19, 4.10554e-09, Current, 1e-08, 4
20, 4.097022e-09, Current, 1e-08, 4
21, 4.090105e-09, Current, 1e-08, 4
22, 4.081038e-09, Current, 1e-08, 4
23, 4.074797e-09, Current, 1e-08, 4
24, 4.075134e-09, Current, 1e-08, 4
25, 4.070537e-09, Current, 1e-08, 4
26, 4.067333e-09, Current, 1e-08, 4
27, 4.069399e-09, Current, 1e-08, 4
28, 4.169222e-09, Current, 1e-08, 4
29, 4.191953e-09, Current, 1e-08, 4
30, 4.218353e-09, Current, 1e-08, 4
31, 4.249139e-09, Current, 1e-08, 4
32, 4.275412e-09, Current, 1e-08, 4
33, 4.295192e-09, Current, 1e-08, 4
34, 4.315266e-09, Current, 1e-08, 4
35, 4.333021e-09, Current, 1e-08, 4
36, 4.349004e-09, Current, 1e-08, 4
37, 4.35959e-09, Current, 1e-08, 4
38, 4.358957e-09, Current, 1e-08, 4
39, 4.358451e-09, Current, 1e-08, 4
40, 4.35318e-09, Current, 1e-08, 4
41, 4.340655e-09, Current, 1e-08, 4
42, 4.32349e-09, Current, 1e-08, 4
43, 4.306536e-09, Current, 1e-08, 4
44, 4.290047e-09, Current, 1e-08, 4
45, 4.276087e-09, Current, 1e-08, 4
46, 4.262972e-09, Current, 1e-08, 4
47, 4.249813e-09, Current, 1e-08, 4
48, 4.24412e-09, Current, 1e-08, 4
49, 4.233493e-09, Current, 1e-08, 4
50, 4.220504e-09, Current, 1e-08, 4
51, 4.205321e-09, Current, 1e-08, 4
52, 4.189507e-09, Current, 1e-08, 4
53, 4.176096e-09, Current, 1e-08, 4
54, 4.067416e-09, Current, 1e-08, 4
55, 4.047722e-09, Current, 1e-08, 4
56, 4.036461e-09, Current, 1e-08, 4
57, 4.025455e-09, Current, 1e-08, 4
58, 4.04262e-09, Current, 1e-08, 4
59, 4.029629e-09, Current, 1e-08, 4
60, 4.031864e-09, Current, 1e-08, 4
61, 4.053542e-09, Current, 1e-08, 4
62, 4.084581e-09, Current, 1e-08, 4
63, 4.116758e-09, Current, 1e-08, 4
64, 4.141008e-09, Current, 1e-08, 4
65, 4.168293e-09, Current, 1e-08, 4
66, 4.189169e-09, Current, 1e-08, 4
67, 4.212618e-09, Current, 1e-08, 4
68, 4.229318e-09, Current, 1e-08, 4
69, 4.31961e-09, Current, 1e-08, 4
70, 4.354739e-09, Current, 1e-08, 4
71, 4.36309e-09, Current, 1e-08, 4
