Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424772632.780573
Reading Number, Reading, Measure Function, Measure Range, Status
1, 5.184686e-10, Current, 1e-08, 4
2, 2.767451e-10, Current, 1e-09, 4
3, 2.76361e-10, Current, 1e-09, 4
4, 2.756612e-10, Current, 1e-09, 4
5, 2.745774e-10, Current, 1e-09, 4
6, 2.740561e-10, Current, 1e-09, 4
7, 2.734524e-10, Current, 1e-09, 4
8, 2.726429e-10, Current, 1e-09, 4
9, 2.714904e-10, Current, 1e-09, 4
10, 2.705026e-10, Current, 1e-09, 4
11, 2.698029e-10, Current, 1e-09, 4
12, 2.692815e-10, Current, 1e-09, 4
13, 2.687876e-10, Current, 1e-09, 4
14, 2.684721e-10, Current, 1e-09, 4
15, 2.682251e-10, Current, 1e-09, 4
16, 2.684721e-10, Current, 1e-09, 4
17, 2.689248e-10, Current, 1e-09, 4
18, 2.685956e-10, Current, 1e-09, 4
19, 2.690209e-10, Current, 1e-09, 4
20, 2.698852e-10, Current, 1e-09, 4
21, 2.70777e-10, Current, 1e-09, 4
22, 2.712709e-10, Current, 1e-09, 4
23, 2.719021e-10, Current, 1e-09, 4
24, 2.729036e-10, Current, 1e-09, 4
25, 2.738228e-10, Current, 1e-09, 4
26, 2.746597e-10, Current, 1e-09, 4
27, 2.754006e-10, Current, 1e-09, 4
28, 2.75579e-10, Current, 1e-09, 4
29, 2.761277e-10, Current, 1e-09, 4
30, 2.765805e-10, Current, 1e-09, 4
31, 2.76553e-10, Current, 1e-09, 4
32, 2.765667e-10, Current, 1e-09, 4
33, 2.764569e-10, Current, 1e-09, 4
34, 2.761963e-10, Current, 1e-09, 4
35, 2.755653e-10, Current, 1e-09, 4
36, 2.746597e-10, Current, 1e-09, 4
37, 2.739463e-10, Current, 1e-09, 4
38, 2.734524e-10, Current, 1e-09, 4
39, 2.728898e-10, Current, 1e-09, 4
40, 2.718746e-10, Current, 1e-09, 4
41, 2.709279e-10, Current, 1e-09, 4
42, 2.699813e-10, Current, 1e-09, 4
43, 2.693639e-10, Current, 1e-09, 4
44, 2.689248e-10, Current, 1e-09, 4
45, 2.684721e-10, Current, 1e-09, 4
46, 2.679919e-10, Current, 1e-09, 4
47, 2.680056e-10, Current, 1e-09, 4
48, 2.691032e-10, Current, 1e-09, 4
49, 2.683898e-10, Current, 1e-09, 4
50, 2.684721e-10, Current, 1e-09, 4
51, 2.6887e-10, Current, 1e-09, 4
52, 2.697892e-10, Current, 1e-09, 4
53, 2.707221e-10, Current, 1e-09, 4
54, 2.710377e-10, Current, 1e-09, 4
55, 2.719432e-10, Current, 1e-09, 4
56, 2.729036e-10, Current, 1e-09, 4
57, 2.737953e-10, Current, 1e-09, 4
58, 2.746597e-10, Current, 1e-09, 4
59, 2.75181e-10, Current, 1e-09, 4
60, 2.756749e-10, Current, 1e-09, 4
61, 2.761003e-10, Current, 1e-09, 4
62, 2.764158e-10, Current, 1e-09, 4
63, 2.762786e-10, Current, 1e-09, 4
64, 2.766902e-10, Current, 1e-09, 4
65, 2.762512e-10, Current, 1e-09, 4
66, 2.758808e-10, Current, 1e-09, 4
67, 2.752497e-10, Current, 1e-09, 4
68, 2.743716e-10, Current, 1e-09, 4
69, 2.737268e-10, Current, 1e-09, 4
70, 2.733015e-10, Current, 1e-09, 4
71, 2.72396e-10, Current, 1e-09, 4
72, 2.716002e-10, Current, 1e-09, 4
73, 2.704614e-10, Current, 1e-09, 4
74, 2.697068e-10, Current, 1e-09, 4
75, 2.691443e-10, Current, 1e-09, 4
76, 2.687328e-10, Current, 1e-09, 4
77, 2.681017e-10, Current, 1e-09, 4
78, 2.677861e-10, Current, 1e-09, 4
79, 2.67841e-10, Current, 1e-09, 4
80, 2.688563e-10, Current, 1e-09, 4
81, 2.681839e-10, Current, 1e-09, 4
82, 2.682114e-10, Current, 1e-09, 4
83, 2.689111e-10, Current, 1e-09, 4
84, 2.698303e-10, Current, 1e-09, 4
85, 2.704751e-10, Current, 1e-09, 4
86, 2.710514e-10, Current, 1e-09, 4
87, 2.71806e-10, Current, 1e-09, 4
88, 2.728076e-10, Current, 1e-09, 4
89, 2.737816e-10, Current, 1e-09, 4
90, 2.7455e-10, Current, 1e-09, 4
91, 2.751262e-10, Current, 1e-09, 4
92, 2.754692e-10, Current, 1e-09, 4
93, 2.760454e-10, Current, 1e-09, 4
94, 2.763747e-10, Current, 1e-09, 4
95, 2.762512e-10, Current, 1e-09, 4
96, 2.76361e-10, Current, 1e-09, 4
97, 2.760729e-10, Current, 1e-09, 4
98, 2.757984e-10, Current, 1e-09, 4
99, 2.750164e-10, Current, 1e-09, 4
100, 2.740972e-10, Current, 1e-09, 4
101, 2.736444e-10, Current, 1e-09, 4
102, 2.732191e-10, Current, 1e-09, 4
103, 2.722725e-10, Current, 1e-09, 4
104, 2.713944e-10, Current, 1e-09, 4
105, 2.702831e-10, Current, 1e-09, 4
106, 2.695422e-10, Current, 1e-09, 4
107, 2.689934e-10, Current, 1e-09, 4
108, 2.686093e-10, Current, 1e-09, 4
109, 2.679508e-10, Current, 1e-09, 4
110, 2.676214e-10, Current, 1e-09, 4
111, 2.67841e-10, Current, 1e-09, 4
112, 2.687328e-10, Current, 1e-09, 4
113, 2.681702e-10, Current, 1e-09, 4
114, 2.682114e-10, Current, 1e-09, 4
115, 2.68815e-10, Current, 1e-09, 4
116, 2.698577e-10, Current, 1e-09, 4
117, 2.704889e-10, Current, 1e-09, 4
118, 2.709416e-10, Current, 1e-09, 4
119, 2.718883e-10, Current, 1e-09, 4
120, 2.725743e-10, Current, 1e-09, 4
121, 2.736719e-10, Current, 1e-09, 4
122, 2.744813e-10, Current, 1e-09, 4
123, 2.750712e-10, Current, 1e-09, 4
124, 2.754418e-10, Current, 1e-09, 4
125, 2.759631e-10, Current, 1e-09, 4
126, 2.762786e-10, Current, 1e-09, 4
127, 2.761551e-10, Current, 1e-09, 4
128, 2.761963e-10, Current, 1e-09, 4
129, 2.761689e-10, Current, 1e-09, 4
130, 2.758945e-10, Current, 1e-09, 4
131, 2.751948e-10, Current, 1e-09, 4
132, 2.742481e-10, Current, 1e-09, 4
133, 2.736444e-10, Current, 1e-09, 4
134, 2.733015e-10, Current, 1e-09, 4
135, 2.724234e-10, Current, 1e-09, 4
136, 2.716551e-10, Current, 1e-09, 4
137, 2.70434e-10, Current, 1e-09, 4
138, 2.693228e-10, Current, 1e-09, 4
139, 2.687191e-10, Current, 1e-09, 4
140, 2.683074e-10, Current, 1e-09, 4
141, 2.676901e-10, Current, 1e-09, 4
142, 2.676626e-10, Current, 1e-09, 4
143, 2.679371e-10, Current, 1e-09, 4
144, 2.682251e-10, Current, 1e-09, 4
145, 2.677998e-10, Current, 1e-09, 4
146, 2.683211e-10, Current, 1e-09, 4
147, 2.691306e-10, Current, 1e-09, 4
148, 2.700224e-10, Current, 1e-09, 4
149, 2.706535e-10, Current, 1e-09, 4
