Index	Average	Scarto
0	1946.7000	30.7216
1	2027.2210	267.1699
2	1860.9500	29.9082
3	2087.4900	219.3011
4	1993.5960	31.4476
5	2113.7910	276.3090
6	1957.1990	31.5279
7	2212.3830	290.0648
8	2033.7850	32.8697
9	2173.6730	263.5800
10	1889.7150	29.9614
11	1940.9640	244.1567
12	1491.5650	23.7748
13	2292.2020	234.1697
14	2292.7570	35.7648
15	2363.3370	329.3839
16	2264.9970	36.4905
17	2533.9750	288.8389
18	2404.1790	38.1190
19	2633.2100	274.1233
20	2337.3040	36.6024
21	2354.9180	323.2758
22	2204.4830	34.8488
23	2214.1860	331.6505
24	1668.8330	26.7391
25	2085.9150	207.3167
26	2201.7720	35.2654
27	2349.1980	298.8266
28	2416.9070	39.1201
29	2402.2960	329.4229
30	2377.5920	39.2976
31	2631.9110	344.3554
32	2214.1450	34.8406
33	2385.6580	245.2741
34	2153.7470	35.3282
35	2214.3930	308.4543
36	1522.6040	24.4821
37	2133.7480	200.1137
38	2230.1220	35.9026
39	2457.7410	360.7314
40	2349.2570	38.1665
41	2468.1730	338.4017
42	2387.8830	38.6461
43	2477.3890	272.0124
44	2242.8430	35.1422
45	2461.4840	288.4305
46	2407.6710	39.0753
47	2231.7440	339.5471
48	1854.0510	29.2402
49	2231.5200	226.7956
50	2135.4630	34.5035
51	2304.8740	315.6973
52	2234.7340	36.8208
53	2242.4470	265.0619
54	2224.3750	36.5774
55	2512.5710	310.0704
56	2226.3940	34.8703
57	2360.2780	359.7729
58	2201.3700	36.2631
59	2119.3540	345.4050
60	1263.0060	20.6881
61	1812.2810	158.2672
62	1771.5860	28.7232
63	1884.5840	294.8678
64	1824.7130	29.8146
65	2081.6890	279.6878
66	1824.9780	29.0663
67	1896.2700	211.6612
68	1811.5630	28.8675
69	2103.1800	262.6930
70	1929.5460	30.9897
71	1817.4570	256.8869
