Index	Average	Scarto
0	36926.0520	557.6269
1	37876.8610	5996.9541
2	31687.3320	462.4468
3	35350.0550	3701.7899
4	33360.2440	501.1956
5	34271.6520	4093.5752
6	32182.2940	467.7994
7	38833.2130	4326.7184
8	34511.8180	497.5174
9	37428.9840	5082.1476
10	32471.8140	479.7376
11	33492.7630	3996.0116
12	26219.8660	375.3105
13	39255.2360	3315.0685
14	39340.9230	568.3633
15	37921.1920	5254.2654
16	35473.1200	512.8215
17	41330.8510	4801.6879
18	40212.2600	581.0183
19	44226.7080	3653.2300
20	37942.2320	548.8592
21	38854.1030	4667.9274
22	38225.5230	574.7255
23	38904.7460	4968.7735
24	28952.6410	430.5560
25	37223.2910	4309.6282
26	38554.4420	578.4775
27	38813.4260	4399.9052
28	40783.9350	593.5925
29	39523.3630	4933.1866
30	40217.7630	575.7913
31	44282.1490	5648.0772
32	35986.4210	525.4570
33	41491.9380	5336.4230
34	37225.5490	550.5468
35	38855.1000	4703.4162
36	27080.0060	387.4985
37	36796.5200	3299.7218
38	38051.5680	531.3527
39	41829.1440	6094.8559
40	40648.9430	587.8751
41	41237.8410	5626.7237
42	38207.6300	546.1881
43	40503.9900	6316.7117
44	35809.6330	501.6877
45	41254.0480	4090.8076
46	40078.7300	675.1343
47	36279.3160	4564.0941
48	34290.8230	499.2032
49	41011.6490	4742.4967
50	36649.1860	533.3441
51	39887.4000	5118.3370
52	38138.8940	565.3288
53	37424.3760	5342.8114
54	35926.1860	519.8841
55	41696.1570	4419.3453
56	36427.8230	527.5927
57	38286.4310	4022.2127
58	36569.3450	529.6407
59	34127.2750	4926.6966
60	22417.0090	333.1266
61	32478.6330	3315.7730
62	30305.8330	432.0229
63	31282.6250	4441.9167
64	30549.7650	452.7459
65	36635.8630	4518.0859
66	30458.8820	426.7735
67	31922.8370	3653.8260
68	30244.1590	441.3884
69	35963.4080	3470.6015
70	32599.4160	465.8388
71	29722.4210	4805.3396
