Index	Average	Scarto
0	47729.7610	722.6169
1	46967.8970	5605.0959
2	40147.0930	618.4859
3	45416.8770	5541.5119
4	42671.9140	623.3118
5	44066.8580	6128.8059
6	42192.0130	617.6629
7	50914.5410	5784.0551
8	44581.5520	654.2266
9	49347.6670	5821.0221
10	43235.7930	661.7113
11	43500.7470	5841.6263
12	33832.1510	530.4589
13	50368.8290	5404.3596
14	50943.5850	723.7109
15	48204.6230	7363.2715
16	45075.0470	649.5722
17	54277.9620	5723.9681
18	53087.1290	803.5617
19	57622.7900	6767.8132
20	50845.0920	737.1232
21	52511.6850	6814.5147
22	49169.5150	726.2402
23	48584.3400	7732.0642
24	36733.4850	546.0700
25	46540.4720	3928.3522
26	49409.0010	739.4001
27	49931.7270	6950.4111
28	52656.8030	773.9144
29	51818.4560	7242.6310
30	52906.4480	810.6237
31	56778.6510	6670.5730
32	47918.0710	740.1789
33	54729.6840	6922.9768
34	46365.5940	695.1160
35	47707.5960	5851.1207
36	34403.5290	534.0235
37	47127.2010	5024.7196
38	48524.1900	749.5974
39	54334.2980	7523.5916
40	53110.3210	792.3185
41	52094.7080	7835.6082
42	48061.1790	702.4381
43	52578.0100	5939.4594
44	46910.4290	684.1086
45	52166.6000	5159.5434
46	50802.3200	807.0521
47	46377.5350	6119.0553
48	43840.4860	645.1027
49	53003.5750	6289.2627
50	46867.5200	698.6817
51	50860.2790	6386.0517
52	49019.0390	736.5606
53	47054.6640	6678.5699
54	45132.7990	684.0348
55	55872.3460	5670.4031
56	47977.5420	722.1518
57	48150.6980	6374.1732
58	46153.9080	675.9063
59	43740.3410	7276.8233
60	28710.6050	441.6636
61	42315.5280	4271.4833
62	40486.0870	590.4934
63	41411.4250	6350.4408
64	40272.5870	593.5512
65	48846.8110	5823.4671
66	39129.9810	581.6762
67	40766.2100	5517.5386
68	38516.4100	566.4282
69	46503.2830	6792.3860
70	42083.8700	585.1989
71	37321.0740	4805.2979
