Index	Average	Scarto
0	2621.5490	40.7946
1	2711.1270	286.1457
2	2487.7750	38.8084
3	2788.0230	338.8003
4	2663.9260	40.6236
5	2823.1970	391.4116
6	2613.1930	39.6967
7	2970.6540	349.2192
8	2724.8500	41.8519
9	2919.0060	413.2314
10	2531.9570	40.0972
11	2617.7080	406.2113
12	1988.1050	31.2548
13	3039.0620	263.0667
14	3058.0560	48.9771
15	3149.4490	511.4400
16	3005.4380	47.1001
17	3376.1160	390.7224
18	3213.1270	48.9456
19	3556.5740	494.4552
20	3111.8660	48.1791
21	3147.6250	466.3750
22	2976.1250	46.9331
23	2954.0280	352.1952
24	2237.0470	34.1749
25	2803.2390	313.7198
26	2946.0910	46.6731
27	3140.4120	437.6726
28	3211.9310	51.5765
29	3208.1470	444.0950
30	3198.2510	49.3946
31	3515.1720	427.8875
32	2951.2710	46.3263
33	3247.1720	456.8089
34	2914.8090	45.3445
35	2963.7720	345.2910
36	2045.4860	31.4091
37	2872.9410	295.7867
38	2987.7520	46.6382
39	3293.0270	419.3898
40	3152.2930	50.0778
41	3270.2070	420.4694
42	3176.0130	49.0812
43	3352.1040	523.9445
44	2991.4850	47.1990
45	3318.4480	432.9010
46	3212.6920	50.3144
47	2950.4690	427.8843
48	2495.5180	39.4902
49	3002.9170	293.0375
50	2879.8790	45.0551
51	3113.7920	385.3686
52	3015.3740	46.8715
53	3025.9440	414.6605
54	2954.2310	47.3170
55	3351.9670	437.0244
56	2969.0560	45.4284
57	3128.6220	406.5378
58	2949.1450	45.4785
59	2806.3090	393.4461
60	1686.2160	26.0258
61	2442.3600	256.2014
62	2367.6610	36.5139
63	2488.1650	316.4948
64	2438.1270	37.2744
65	2761.0580	265.1768
66	2441.6660	37.8308
67	2566.3020	365.3901
68	2422.6560	37.3395
69	2795.3850	327.0987
70	2564.3910	38.2427
71	2456.8850	437.8042
