Index	Average	Scarto
0	9452.0030	149.6993
1	9698.5280	1389.9133
2	8483.1120	136.5215
3	9527.7830	1172.1881
4	9059.5430	139.8966
5	9550.8940	1578.1664
6	8763.4110	138.3341
7	10257.3120	1109.1329
8	9253.2660	149.8867
9	9893.7410	1274.9030
10	8663.0110	137.5308
11	8937.3570	1153.4613
12	6863.1270	110.6481
13	10448.1410	1028.9703
14	10449.7190	164.8074
15	10492.1750	1500.5709
16	9893.6440	151.9790
17	11272.1330	1355.1543
18	10897.7140	175.0926
19	12100.0730	1839.4938
20	10315.6820	157.9542
21	10530.3590	1346.3871
22	10295.8910	166.3325
23	10281.9330	1296.8685
24	7721.0630	122.8699
25	9697.7150	960.7778
26	10118.7340	161.4307
27	10588.7050	1457.6510
28	10850.7780	169.0931
29	10804.6990	1451.7849
30	10832.1210	173.9270
31	11901.5350	1565.1217
32	9833.6040	158.7768
33	11106.5900	1332.2379
34	10058.3700	158.7283
35	10377.0870	1514.4468
36	7080.5140	111.4773
37	9870.9760	1137.1011
38	10191.2520	158.2277
39	11193.8240	1431.2755
40	10798.0470	172.5280
41	11214.5460	1584.7672
42	10543.1980	164.0408
43	10981.1080	1361.2241
44	9966.9750	155.6301
45	11324.6510	1519.4986
46	10850.1260	176.8911
47	9933.7520	1238.8404
48	8803.2810	138.5926
49	10529.0890	1000.1080
50	9791.4960	149.9432
51	10663.3780	1331.2417
52	10265.9630	155.7043
53	10221.4630	1477.0130
54	9828.9060	154.5095
55	11233.6560	1376.4620
56	9964.9170	150.3507
57	10646.9000	1476.3268
58	9994.3730	155.7598
59	9497.2420	1336.2114
60	5840.5340	93.1405
61	8401.5720	672.5578
62	8039.1210	126.3717
63	8374.2950	948.5025
64	8209.7810	131.5793
65	9582.0610	1074.5186
66	8284.9360	127.6637
67	8762.8230	1302.7997
68	8214.5250	128.8133
69	9638.7790	1261.6962
70	8758.4340	135.6087
71	8278.6220	1171.5743
