Index	Average	Scarto
0	30366.2950	469.7385
1	30025.1960	3631.3643
2	25540.4120	400.6111
3	28725.9350	3218.3557
4	27040.3990	406.0567
5	27726.8350	3702.7603
6	26046.3990	408.7586
7	31331.4960	3915.1973
8	27636.8060	421.7332
9	30141.4640	4763.0109
10	26182.8770	406.9106
11	26975.9220	2881.4657
12	21142.8880	322.0957
13	31725.4850	3002.7149
14	31707.0480	468.1247
15	30832.5530	4235.2197
16	28596.4360	437.2728
17	33287.9770	4031.7163
18	32603.4950	481.9199
19	35698.7910	4898.1741
20	30260.9890	461.6309
21	31768.1350	4579.9381
22	31113.3980	468.7620
23	31252.6350	3578.7639
24	23478.8840	364.9536
25	29908.6020	3130.6732
26	30912.8380	474.3585
27	31424.8340	4174.0943
28	32794.5340	515.0617
29	32080.9640	4869.4053
30	32489.1170	488.4668
31	35557.8410	5201.3383
32	29074.3800	455.1234
33	33666.4020	4160.7047
34	30354.2830	455.6954
35	31354.1050	3854.9639
36	21775.5900	336.6182
37	29846.7250	3112.3095
38	30647.6780	491.3774
39	33349.8590	4056.3360
40	32822.3200	511.8577
41	33492.9680	4300.6865
42	30577.3470	468.5575
43	32134.7330	3870.6210
44	29154.8470	445.6672
45	33478.4240	3573.1063
46	32234.6540	530.7713
47	29627.2310	4470.4940
48	27495.5080	420.9548
49	32928.9670	3769.7554
50	29366.5070	452.4900
51	31880.4750	3893.6108
52	30760.1310	477.8313
53	30181.7260	4209.6356
54	28748.8000	446.6693
55	33624.0650	4292.0974
56	29681.9190	451.1808
57	31454.3240	3972.9643
58	29507.5310	467.9652
59	27884.2790	4159.2421
60	18057.3160	274.4253
61	25875.2000	2709.6640
62	24263.9490	371.0190
63	25110.2690	3392.5370
64	24454.3990	377.2288
65	29468.4300	3571.6072
66	24765.2870	397.4126
67	26096.2710	3974.2221
68	24523.4980	378.8108
69	29109.4790	3553.3419
70	26349.9530	391.8591
71	24024.7670	2873.1928
