Index	Average	Scarto
0	1560.3970	24.1095
1	1649.2160	264.1329
2	1505.5300	23.2644
3	1696.3890	206.9716
4	1615.5490	25.5220
5	1721.8430	248.8481
6	1585.2200	24.7602
7	1778.2250	199.6230
8	1645.5540	25.1059
9	1755.0960	208.8501
10	1527.3330	23.8029
11	1554.9800	153.9575
12	1202.7070	18.3235
13	1846.1630	162.7399
14	1856.4620	29.2351
15	1908.7140	234.3159
16	1840.6110	29.0691
17	2073.7080	294.1927
18	1953.8560	30.2792
19	2154.0660	288.6483
20	1893.2570	29.4863
21	1902.1910	248.6757
22	1787.4930	28.0162
23	1775.4390	230.1668
24	1346.4680	20.9581
25	1708.0820	238.4070
26	1782.4900	27.5875
27	1911.7770	257.0844
28	1957.8400	31.0379
29	1957.2560	288.7134
30	1929.1100	30.5831
31	2130.5950	274.5100
32	1796.5380	28.5317
33	1948.6470	253.4756
34	1746.9140	27.4652
35	1793.2810	268.2983
36	1228.2970	19.1503
37	1725.2460	156.8747
38	1806.1480	28.5799
39	1976.1470	223.6198
40	1904.5000	29.1014
41	2003.5570	272.3537
42	1941.0450	30.1374
43	2021.8390	256.7237
44	1821.2950	29.1119
45	1995.0140	239.4274
46	1949.1530	30.9749
47	1793.6220	239.5138
48	1492.0980	23.3785
49	1801.3620	177.3492
50	1732.7780	27.3892
51	1866.3240	244.5824
52	1814.5100	27.8339
53	1832.7940	254.9749
54	1805.0200	29.6270
55	2040.1300	256.5523
56	1809.3990	28.8200
57	1907.1240	262.7211
58	1784.2390	28.9337
59	1700.3220	230.9277
60	1019.7790	15.7768
61	1469.1000	142.2445
62	1433.2710	22.8762
63	1520.8730	221.3923
64	1477.3310	22.7812
65	1676.6290	202.4024
66	1481.5600	23.3497
67	1539.1620	175.1964
68	1469.0200	23.3503
69	1695.9080	200.0226
70	1558.9650	24.4043
71	1477.2490	230.3272
