Index	Average	Scarto
0	489.5490	7.9636
1	533.3090	64.7033
2	494.8140	8.1362
3	554.0330	62.2666
4	535.8380	8.7009
5	567.0850	71.8265
6	522.0380	8.3557
7	590.2370	73.6849
8	542.2940	8.5126
9	574.4300	81.5167
10	500.9930	8.1575
11	515.7800	65.6299
12	387.5140	6.2749
13	600.0440	59.1982
14	597.0220	9.7684
15	619.4220	90.0627
16	596.8000	9.5222
17	666.1540	66.4256
18	640.4310	10.5917
19	696.4520	76.2355
20	615.4260	9.8493
21	619.6500	89.9057
22	596.1440	9.7071
23	591.9680	88.1678
24	440.8480	7.2002
25	549.1150	65.8710
26	578.2660	9.3026
27	612.6690	58.6808
28	622.0120	10.2368
29	645.1590	104.9794
30	635.3090	10.1983
31	693.5120	78.0303
32	592.7090	9.5922
33	646.8600	79.6887
34	586.2630	9.4639
35	592.0420	72.4404
36	402.6980	6.7260
37	567.2950	57.5881
38	594.3390	9.7064
39	663.4050	89.2906
40	620.1330	9.8994
41	649.0170	91.1485
42	630.8510	10.1830
43	660.2530	105.3728
44	601.7300	9.9255
45	660.7980	89.0554
46	633.7130	10.1911
47	586.5310	91.5852
48	482.0020	7.8085
49	588.4720	66.2916
50	571.9900	9.4031
51	620.3540	80.4267
52	606.8090	9.8454
53	606.7240	95.7612
54	581.8290	9.8716
55	651.6120	74.5290
56	587.9170	9.5266
57	626.5180	80.7592
58	593.1900	9.8319
59	558.9780	72.6590
60	330.1990	5.3529
61	477.3770	47.3990
62	463.9880	7.4455
63	486.8760	51.9623
64	479.1340	7.7847
65	541.9430	66.1976
66	487.8620	7.8338
67	512.7360	71.8348
68	481.6650	7.7218
69	545.0420	72.6817
70	499.6190	8.1372
71	478.0920	64.9891
