Index	Average	Scarto
0	1427218.7600	27982.7265
1	901685.3860	191865.3686
2	699722.2040	13010.0947
3	847650.6330	105890.1208
4	721276.0760	13041.9474
5	584916.1270	78918.8969
6	597989.8060	10687.5303
7	1151087.0650	81345.2310
8	721027.2680	11591.2998
9	1088647.2310	100714.5013
10	896460.7610	16871.5186
11	723982.8780	137049.8018
12	547270.7180	8772.8610
13	822900.2270	81710.1389
14	940156.1380	14877.8369
15	400778.7700	138341.3985
16	492856.0000	8853.2894
17	726636.1110	55567.6471
18	1020213.3950	17272.7282
19	893608.7580	110554.4148
20	614315.6060	9400.8415
21	920384.5950	83015.5791
22	1003485.5270	17898.3524
23	900247.9610	122934.0181
24	550571.1200	10876.7652
25	813870.5270	59005.1743
26	1053664.7890	16359.6866
27	655262.5100	158665.0341
28	1038108.9380	16491.0077
29	794995.1410	133714.2531
30	781593.9460	11638.8985
31	607919.6380	114157.4669
32	601717.9760	9671.3404
33	1006823.8470	94181.8042
34	894543.5080	14888.9363
35	796905.4640	112351.7266
36	491862.1300	8167.3281
37	758296.7410	77247.2406
38	814122.5470	12838.2154
39	1071477.6020	105699.8121
40	897043.9730	13111.3372
41	797719.3190	140744.3866
42	516020.9020	8340.6913
43	893473.5340	77895.1956
44	554652.0020	9288.8345
45	795989.4740	67895.5486
46	664137.2820	8662.9826
47	453907.3380	97540.6635
48	655122.0570	11836.1766
49	791374.8310	79854.5474
50	812310.2040	14150.2131
51	702707.4090	105811.8445
52	458610.5180	6861.8319
53	1066189.4310	62748.1296
54	501037.1650	8022.3169
55	951264.1180	71615.5788
56	649591.0610	10227.6830
57	666275.4090	87795.2603
58	568349.3780	7408.8327
59	316216.5530	85392.5841
60	453778.2210	7757.6402
61	854192.3790	50516.8039
62	634560.3280	11341.7015
63	699025.1530	85085.3157
64	649385.6120	11006.9728
65	910242.7490	102773.9988
66	583006.0160	9643.7621
67	739682.1340	61979.1964
68	608251.8930	9775.3387
69	614875.7040	87664.6901
70	441073.6910	5296.5190
71	209371.5890	64486.4590
