13;1,92;2,34;0,503225806;;;;
14;2;2,42;0,520430108;;;;
15;1,71;2,04;0,438709677;;;;
16;1,48;1,7;0,365591398;;;;
21;0,86;0,974;0,209462366;;;;
22;0,51;0,57;0,122580645;;;;
23;0,39;0,436;0,093763441;;;;
24;0,42;0,487;0,104731183;;;;
25;0,37;0,428;0,092043011;;;;
26;0,33;0,372;0,08;;;;
31;0,28;0,37;0,079569892;;;;
32;0,17;0,18;0,038709677;;;;
33;0,13;0,139;0,029892473;;;;
34;0,15;0,162;0,03483871;;;;
35;0,14;0,143;0,030752688;;;;
36;0,12;0,1307;0,028107527;;;;
41;0,163;0,1695;0,036451613;;;;
42;0,078;0,0736;0,015827957;;;;
43;0,063;0,0583;0,012537634;;;;
44;0,068;0,0692;0,01488172;;;;
45;0,062;0,0632;0,013591398;;;;
46;0,058;0,0585;0,012580645;;;;
51;0,05;0,109;0,02344086;;;;
52;;0,04;0,008602151;;;;
53;;0,036;0,007741935;;;;
54;;0,0335;0,007204301;;;;
55;;0,0321;0,006903226;;;;
56;;0,027;0,005806452;;;;
