9,13,12,12,13,13,12,13,13,14,13,13,10,14,16,16,16,16,15,16,16,16,16,14,11,13,13,15,15,15,15,15,14,15,15,13,9,13,15,16,17,16,16,17,16,15,16,13,11,13,13,14,15,15,14,15,15,15,13,13,7,11,11,12,12,13,13,13,13,13,12,10
9,13,12,12,13,13,12,13,13,13,13,13,10,14,15,16,16,16,16,15,16,16,16,13,12,12,14,15,15,15,14,29,14,15,14,13,10,13,15,16,16,16,16,17,16,15,15,30,11,12,13,14,15,14,15,15,15,15,13,12,8,10,12,11,12,13,13,13,13,13,12,11
9,13,12,13,13,13,12,25,14,13,14,13,10,15,15,16,16,17,16,16,15,17,16,14,11,13,14,15,15,15,15,16,14,16,14,13,9,14,15,16,17,16,16,17,17,16,15,13,12,13,13,14,15,15,15,16,15,14,14,12,8,11,11,12,12,14,13,13,13,13,12,11
9,13,12,13,13,13,12,13,13,14,13,13,10,15,15,16,16,16,16,16,16,16,16,14,11,13,14,15,15,15,15,16,14,15,15,13,9,14,15,16,16,16,17,16,16,17,15,13,12,12,14,14,15,14,15,15,16,14,14,12,8,10,12,12,12,13,13,13,13,13,12,11
9,13,12,13,12,13,13,13,13,13,13,14,9,15,15,16,16,16,16,16,15,17,15,14,11,13,14,15,15,15,15,15,14,16,14,13,9,14,14,17,16,16,16,17,16,16,15,13,12,12,14,14,15,14,15,15,15,14,14,12,8,10,12,11,12,26,13,12,13,13,12,11
9,13,12,12,13,13,12,13,13,13,13,14,9,14,16,15,16,16,16,16,15,16,16,13,11,13,14,14,15,15,15,15,14,15,14,13,10,13,15,16,16,16,16,17,16,15,16,13,11,12,13,14,15,14,15,15,15,15,13,12,8,10,11,12,12,13,13,13,12,25,12,11
9,13,12,12,12,13,13,12,13,14,13,13,10,14,15,15,16,33,15,16,15,16,16,13,11,13,14,14,16,14,15,15,14,15,14,13,9,13,15,16,16,16,15,33,15,32,15,13,11,13,13,14,14,14,15,15,15,14,14,12,7,11,11,11,12,14,12,13,13,12,12,11
9,12,12,12,13,12,12,13,13,13,13,13,9,14,15,15,16,15,16,15,15,16,15,14,10,13,13,15,15,14,15,14,14,15,14,12,9,13,15,16,15,16,16,16,15,16,15,12,11,13,13,13,14,29,14,15,14,15,13,11,8,10,11,12,12,12,13,13,12,13,11,11
9,13,12,12,13,13,12,13,13,13,13,13,10,14,16,15,16,17,15,16,15,16,16,14,11,13,14,14,15,15,15,15,14,15,14,13,9,14,15,15,17,15,17,16,16,16,15,13,11,13,13,14,15,14,15,15,15,14,14,12,8,10,11,12,12,13,13,13,13,13,12,10
9,13,12,12,12,25,13,13,12,14,13,13,10,14,15,15,16,16,16,16,15,16,16,13,11,13,13,15,15,15,14,30,13,15,14,13,10,13,15,16,16,16,16,16,16,16,15,13,11,13,13,14,14,15,14,15,15,15,13,12,8,10,11,12,12,13,13,13,12,13,12,11
9,12,12,12,13,12,12,13,13,13,13,13,9,14,15,15,16,16,15,16,15,16,15,13,11,13,13,15,15,14,15,14,14,15,14,13,9,13,14,16,16,16,16,16,16,15,15,13,11,12,13,14,14,14,14,15,15,14,13,12,8,10,11,11,12,13,13,12,13,12,12,11
