Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424265367.815314
Reading Number, Reading, Measure Function, Measure Range, Status
1, 8.206463e-08, Current, 1e-06, 12
2, 2.057062e-08, Current, 1e-07, 12
3, 2.062122e-08, Current, 1e-07, 12
4, 2.069709e-08, Current, 1e-07, 12
5, 2.083874e-08, Current, 1e-07, 12
6, 2.083368e-08, Current, 1e-07, 12
7, 2.088428e-08, Current, 1e-07, 12
8, 2.08691e-08, Current, 1e-07, 12
9, 2.087415e-08, Current, 1e-07, 12
10, 2.077804e-08, Current, 1e-07, 12
11, 2.084886e-08, Current, 1e-07, 12
12, 2.083368e-08, Current, 1e-07, 12
13, 2.071734e-08, Current, 1e-07, 12
14, 2.067181e-08, Current, 1e-07, 12
15, 2.073251e-08, Current, 1e-07, 12
16, 2.060099e-08, Current, 1e-07, 12
17, 2.060604e-08, Current, 1e-07, 12
18, 2.048969e-08, Current, 1e-07, 12
19, 2.044415e-08, Current, 1e-07, 12
20, 2.044922e-08, Current, 1e-07, 12
21, 2.048463e-08, Current, 1e-07, 12
22, 2.053522e-08, Current, 1e-07, 12
23, 2.056052e-08, Current, 1e-07, 12
24, 2.078816e-08, Current, 1e-07, 12
25, 2.080839e-08, Current, 1e-07, 12
26, 2.088933e-08, Current, 1e-07, 12
27, 2.088428e-08, Current, 1e-07, 12
28, 2.09298e-08, Current, 1e-07, 12
29, 2.106133e-08, Current, 1e-07, 12
30, 2.088933e-08, Current, 1e-07, 12
31, 2.097027e-08, Current, 1e-07, 12
32, 2.087921e-08, Current, 1e-07, 12
33, 2.088428e-08, Current, 1e-07, 12
34, 2.088428e-08, Current, 1e-07, 12
35, 2.081345e-08, Current, 1e-07, 12
36, 2.072746e-08, Current, 1e-07, 12
37, 2.072746e-08, Current, 1e-07, 12
38, 2.070721e-08, Current, 1e-07, 12
39, 2.053522e-08, Current, 1e-07, 12
40, 2.058074e-08, Current, 1e-07, 12
41, 2.045428e-08, Current, 1e-07, 12
42, 2.03531e-08, Current, 1e-07, 12
43, 2.041887e-08, Current, 1e-07, 12
44, 2.062627e-08, Current, 1e-07, 12
45, 2.064651e-08, Current, 1e-07, 12
46, 2.076792e-08, Current, 1e-07, 12
47, 2.088428e-08, Current, 1e-07, 12
48, 2.089438e-08, Current, 1e-07, 12
49, 2.090956e-08, Current, 1e-07, 12
50, 2.093486e-08, Current, 1e-07, 12
51, 2.090956e-08, Current, 1e-07, 12
52, 2.085898e-08, Current, 1e-07, 12
53, 2.08691e-08, Current, 1e-07, 12
54, 2.082356e-08, Current, 1e-07, 12
55, 2.077298e-08, Current, 1e-07, 12
56, 2.076286e-08, Current, 1e-07, 12
57, 2.070721e-08, Current, 1e-07, 12
58, 2.055545e-08, Current, 1e-07, 12
59, 2.067181e-08, Current, 1e-07, 12
60, 2.05858e-08, Current, 1e-07, 12
61, 2.059592e-08, Current, 1e-07, 12
62, 2.048969e-08, Current, 1e-07, 12
63, 2.049475e-08, Current, 1e-07, 12
64, 2.041887e-08, Current, 1e-07, 12
65, 2.04138e-08, Current, 1e-07, 12
66, 2.056557e-08, Current, 1e-07, 12
67, 2.064651e-08, Current, 1e-07, 12
68, 2.074769e-08, Current, 1e-07, 12
69, 2.087921e-08, Current, 1e-07, 12
70, 2.091463e-08, Current, 1e-07, 12
71, 2.092474e-08, Current, 1e-07, 12
72, 2.096015e-08, Current, 1e-07, 12
73, 2.085898e-08, Current, 1e-07, 12
74, 2.099556e-08, Current, 1e-07, 12
75, 2.098545e-08, Current, 1e-07, 12
76, 2.093486e-08, Current, 1e-07, 12
77, 2.087415e-08, Current, 1e-07, 12
78, 2.080839e-08, Current, 1e-07, 12
79, 2.070721e-08, Current, 1e-07, 12
80, 2.079828e-08, Current, 1e-07, 12
81, 2.062122e-08, Current, 1e-07, 12
82, 2.062627e-08, Current, 1e-07, 12
83, 2.05251e-08, Current, 1e-07, 12
84, 2.04644e-08, Current, 1e-07, 12
85, 2.04391e-08, Current, 1e-07, 12
86, 2.045934e-08, Current, 1e-07, 12
87, 2.071227e-08, Current, 1e-07, 12
88, 2.073251e-08, Current, 1e-07, 12
89, 2.083874e-08, Current, 1e-07, 12
90, 2.082863e-08, Current, 1e-07, 12
91, 2.085391e-08, Current, 1e-07, 12
92, 2.097027e-08, Current, 1e-07, 12
93, 2.085898e-08, Current, 1e-07, 12
94, 2.091463e-08, Current, 1e-07, 12
95, 2.085391e-08, Current, 1e-07, 12
96, 2.080839e-08, Current, 1e-07, 12
97, 2.076792e-08, Current, 1e-07, 12
98, 2.080333e-08, Current, 1e-07, 12
99, 2.067686e-08, Current, 1e-07, 12
100, 2.067181e-08, Current, 1e-07, 12
101, 2.055545e-08, Current, 1e-07, 12
102, 2.049475e-08, Current, 1e-07, 12
103, 2.053522e-08, Current, 1e-07, 12
104, 2.04644e-08, Current, 1e-07, 12
105, 2.043405e-08, Current, 1e-07, 12
106, 2.048969e-08, Current, 1e-07, 12
107, 2.05251e-08, Current, 1e-07, 12
108, 2.06111e-08, Current, 1e-07, 12
109, 2.064651e-08, Current, 1e-07, 12
110, 2.081345e-08, Current, 1e-07, 12
111, 2.088428e-08, Current, 1e-07, 12
112, 2.089438e-08, Current, 1e-07, 12
113, 2.09045e-08, Current, 1e-07, 12
114, 2.08438e-08, Current, 1e-07, 12
115, 2.087415e-08, Current, 1e-07, 12
116, 2.08691e-08, Current, 1e-07, 12
117, 2.086403e-08, Current, 1e-07, 12
118, 2.089438e-08, Current, 1e-07, 12
119, 2.079828e-08, Current, 1e-07, 12
120, 2.088933e-08, Current, 1e-07, 12
121, 2.062627e-08, Current, 1e-07, 12
122, 2.068698e-08, Current, 1e-07, 12
123, 2.068192e-08, Current, 1e-07, 12
124, 2.058074e-08, Current, 1e-07, 12
125, 2.050487e-08, Current, 1e-07, 12
126, 2.047957e-08, Current, 1e-07, 12
127, 2.044415e-08, Current, 1e-07, 12
128, 2.051498e-08, Current, 1e-07, 12
129, 2.063639e-08, Current, 1e-07, 12
130, 2.073756e-08, Current, 1e-07, 12
131, 2.078309e-08, Current, 1e-07, 12
132, 2.076792e-08, Current, 1e-07, 12
133, 2.089438e-08, Current, 1e-07, 12
134, 2.079321e-08, Current, 1e-07, 12
135, 2.096521e-08, Current, 1e-07, 12
136, 2.08691e-08, Current, 1e-07, 12
137, 2.077298e-08, Current, 1e-07, 12
138, 2.088933e-08, Current, 1e-07, 12
139, 2.080333e-08, Current, 1e-07, 12
140, 2.076286e-08, Current, 1e-07, 12
141, 2.073251e-08, Current, 1e-07, 12
142, 2.061616e-08, Current, 1e-07, 12
143, 2.067686e-08, Current, 1e-07, 12
144, 2.062122e-08, Current, 1e-07, 12
145, 2.057569e-08, Current, 1e-07, 12
146, 2.05504e-08, Current, 1e-07, 12
147, 2.049475e-08, Current, 1e-07, 12
148, 2.04998e-08, Current, 1e-07, 12
149, 2.044415e-08, Current, 1e-07, 12
150, 2.054027e-08, Current, 1e-07, 12
