11;1,48E-05;1,00E+00;1,000;1,0000;1;0,000;
12;9,38E-06;6,35E-01;0,635;;0,631;0,636;
13;6,35E-06;4,30E-01;0,430;;0,5012;-16,513;
14;6,47E-06;4,38E-01;0,438;;0,3981;9,150;
15;5,50E-06;3,72E-01;0,372;;0,3162;15,060;
16;4,55E-06;3,09E-01;0,309;;0,2512;18,582;
21;2,08E-06;1,41E-01;1,000;0,1411;0,1;29,147;7,085343986
22;1,47E-06;9,96E-02;0,705;;0,0631;36,623;
23;1,19E-06;8,08E-02;0,573;;0,05012;38,001;
24;1,11E-06;7,54E-02;0,534;;0,03981;47,194;
25;9,48E-07;6,42E-02;0,455;;0,03162;50,781;
26;8,04E-07;5,44E-02;0,386;;0,02512;53,859;
31;4,06E-07;2,75E-02;1,000;0,0275;0,01;63,604;5,136856447
32;2,67E-07;1,81E-02;0,658;;0,00631;65,113;
33;2,19E-07;1,49E-02;0,541;;0,005012;66,276;
34;2,07E-07;1,40E-02;0,510;;0,003981;71,575;
35;1,81E-07;1,22E-02;0,446;;0,003162;74,178;
36;1,49E-07;1,01E-02;0,368;;0,002512;75,183;
41;8,47E-08;5,74E-03;1,000;0,0057;0,001;82,579;4,786334287
42;5,59E-08;3,78E-03;0,659;;0,000631;83,327;
43;4,42E-08;3,00E-03;0,522;;0,0005012;83,272;
44;5,15E-08;3,49E-03;0,608;;0,0003981;88,591;
45;4,45E-08;3,02E-03;0,526;;0,0003162;89,520;
46;3,86E-08;2,62E-03;0,456;;0,0002512;90,400;
51;2,08E-08;1,41E-03;1,000;0,0014;0,0001;92,899;4,076053074
52;1,31E-08;8,87E-04;0,630;;0,0000631;92,886;
53;9,92E-09;6,72E-04;0,477;;0,00005012;92,543;
54;1,02E-08;6,90E-04;0,490;;0,00003981;94,233;
55;8,89E-09;6,02E-04;0,428;;0,00003162;94,750;
56;7,74E-09;5,24E-04;0,372;;0,00002512;95,208;
