Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424265203.772409
Reading Number, Reading, Measure Function, Measure Range, Status
1, 1.042303e-07, Current, 1e-06, 12
2, 4.486031e-08, Current, 1e-07, 12
3, 4.487549e-08, Current, 1e-07, 12
4, 4.481986e-08, Current, 1e-07, 12
5, 4.481986e-08, Current, 1e-07, 12
6, 4.478445e-08, Current, 1e-07, 12
7, 4.475917e-08, Current, 1e-07, 12
8, 4.46226e-08, Current, 1e-07, 12
9, 4.459732e-08, Current, 1e-07, 12
10, 4.449109e-08, Current, 1e-07, 12
11, 4.425843e-08, Current, 1e-07, 12
12, 4.415221e-08, Current, 1e-07, 12
13, 4.407129e-08, Current, 1e-07, 12
14, 4.390943e-08, Current, 1e-07, 12
15, 4.377288e-08, Current, 1e-07, 12
16, 4.393473e-08, Current, 1e-07, 12
17, 4.404094e-08, Current, 1e-07, 12
18, 4.431913e-08, Current, 1e-07, 12
19, 4.451638e-08, Current, 1e-07, 12
20, 4.466813e-08, Current, 1e-07, 12
21, 4.479457e-08, Current, 1e-07, 12
22, 4.482491e-08, Current, 1e-07, 12
23, 4.481986e-08, Current, 1e-07, 12
24, 4.481986e-08, Current, 1e-07, 12
25, 4.474399e-08, Current, 1e-07, 12
26, 4.469847e-08, Current, 1e-07, 12
27, 4.460743e-08, Current, 1e-07, 12
28, 4.462765e-08, Current, 1e-07, 12
29, 4.450121e-08, Current, 1e-07, 12
30, 4.440005e-08, Current, 1e-07, 12
31, 4.428878e-08, Current, 1e-07, 12
32, 4.414716e-08, Current, 1e-07, 12
33, 4.409658e-08, Current, 1e-07, 12
34, 4.38892e-08, Current, 1e-07, 12
35, 4.386392e-08, Current, 1e-07, 12
36, 4.375265e-08, Current, 1e-07, 12
37, 4.381839e-08, Current, 1e-07, 12
38, 4.393473e-08, Current, 1e-07, 12
39, 4.415728e-08, Current, 1e-07, 12
40, 4.431913e-08, Current, 1e-07, 12
41, 4.452144e-08, Current, 1e-07, 12
42, 4.470353e-08, Current, 1e-07, 12
43, 4.479457e-08, Current, 1e-07, 12
44, 4.479963e-08, Current, 1e-07, 12
45, 4.489572e-08, Current, 1e-07, 12
46, 4.489572e-08, Current, 1e-07, 12
47, 4.482998e-08, Current, 1e-07, 12
48, 4.485526e-08, Current, 1e-07, 12
49, 4.479457e-08, Current, 1e-07, 12
50, 4.460237e-08, Current, 1e-07, 12
51, 4.454167e-08, Current, 1e-07, 12
52, 4.447086e-08, Current, 1e-07, 12
53, 4.425337e-08, Current, 1e-07, 12
54, 4.427361e-08, Current, 1e-07, 12
55, 4.412693e-08, Current, 1e-07, 12
56, 4.397519e-08, Current, 1e-07, 12
57, 4.393473e-08, Current, 1e-07, 12
58, 4.387402e-08, Current, 1e-07, 12
59, 4.389932e-08, Current, 1e-07, 12
60, 4.401059e-08, Current, 1e-07, 12
61, 4.418256e-08, Current, 1e-07, 12
