Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424265029.122865
Reading Number, Reading, Measure Function, Measure Range, Status
1, 4.081979e-07, Current, 1e-06, 12
2, 1.901557e-07, Current, 1e-06, 12
3, 1.90721e-07, Current, 1e-06, 12
4, 1.905036e-07, Current, 1e-06, 12
5, 1.934172e-07, Current, 1e-06, 12
6, 1.948087e-07, Current, 1e-06, 12
7, 1.965047e-07, Current, 1e-06, 12
8, 1.949828e-07, Current, 1e-06, 12
9, 1.946783e-07, Current, 1e-06, 12
10, 1.956785e-07, Current, 1e-06, 12
11, 1.946783e-07, Current, 1e-06, 12
12, 1.922431e-07, Current, 1e-06, 12
13, 1.896339e-07, Current, 1e-06, 12
14, 1.92417e-07, Current, 1e-06, 12
15, 1.907646e-07, Current, 1e-06, 12
16, 1.892425e-07, Current, 1e-06, 12
17, 1.882857e-07, Current, 1e-06, 12
18, 1.887206e-07, Current, 1e-06, 12
19, 1.881988e-07, Current, 1e-06, 12
20, 1.867203e-07, Current, 1e-06, 12
21, 1.851982e-07, Current, 1e-06, 12
22, 1.865028e-07, Current, 1e-06, 12
23, 1.877639e-07, Current, 1e-06, 12
24, 1.906775e-07, Current, 1e-06, 12
25, 1.936346e-07, Current, 1e-06, 12
26, 1.964612e-07, Current, 1e-06, 12
27, 1.945044e-07, Current, 1e-06, 12
28, 1.922865e-07, Current, 1e-06, 12
29, 1.945913e-07, Current, 1e-06, 12
30, 1.924605e-07, Current, 1e-06, 12
31, 1.918082e-07, Current, 1e-06, 12
32, 1.927649e-07, Current, 1e-06, 12
33, 1.88938e-07, Current, 1e-06, 12
34, 1.90721e-07, Current, 1e-06, 12
35, 1.912428e-07, Current, 1e-06, 12
36, 1.901557e-07, Current, 1e-06, 12
37, 1.901557e-07, Current, 1e-06, 12
38, 1.891121e-07, Current, 1e-06, 12
39, 1.864158e-07, Current, 1e-06, 12
40, 1.863724e-07, Current, 1e-06, 12
41, 1.859809e-07, Current, 1e-06, 12
42, 1.884598e-07, Current, 1e-06, 12
43, 1.878074e-07, Current, 1e-06, 12
44, 1.892425e-07, Current, 1e-06, 12
45, 1.906775e-07, Current, 1e-06, 12
46, 1.928953e-07, Current, 1e-06, 12
47, 1.926345e-07, Current, 1e-06, 12
48, 1.955916e-07, Current, 1e-06, 12
49, 1.908079e-07, Current, 1e-06, 12
50, 1.928953e-07, Current, 1e-06, 12
51, 1.931562e-07, Current, 1e-06, 12
52, 1.902426e-07, Current, 1e-06, 12
53, 1.921996e-07, Current, 1e-06, 12
54, 1.909385e-07, Current, 1e-06, 12
55, 1.917647e-07, Current, 1e-06, 12
56, 1.921561e-07, Current, 1e-06, 12
57, 1.901991e-07, Current, 1e-06, 12
58, 1.886337e-07, Current, 1e-06, 12
59, 1.905905e-07, Current, 1e-06, 12
60, 1.928519e-07, Current, 1e-06, 12
61, 1.887206e-07, Current, 1e-06, 12
62, 1.845024e-07, Current, 1e-06, 12
63, 1.868942e-07, Current, 1e-06, 12
64, 1.850678e-07, Current, 1e-06, 12
65, 1.849372e-07, Current, 1e-06, 12
66, 1.918951e-07, Current, 1e-06, 12
67, 1.899817e-07, Current, 1e-06, 12
68, 1.911994e-07, Current, 1e-06, 12
69, 1.931998e-07, Current, 1e-06, 12
70, 1.95461e-07, Current, 1e-06, 12
71, 1.920257e-07, Current, 1e-06, 12
72, 1.935042e-07, Current, 1e-06, 12
73, 1.947653e-07, Current, 1e-06, 12
74, 1.929823e-07, Current, 1e-06, 12
75, 1.911994e-07, Current, 1e-06, 12
76, 1.935476e-07, Current, 1e-06, 12
77, 1.883727e-07, Current, 1e-06, 12
78, 1.881118e-07, Current, 1e-06, 12
79, 1.893729e-07, Current, 1e-06, 12
80, 1.884162e-07, Current, 1e-06, 12
81, 1.902426e-07, Current, 1e-06, 12
82, 1.88938e-07, Current, 1e-06, 12
83, 1.872855e-07, Current, 1e-06, 12
84, 1.867203e-07, Current, 1e-06, 12
85, 1.833718e-07, Current, 1e-06, 12
86, 1.877204e-07, Current, 1e-06, 12
87, 1.89199e-07, Current, 1e-06, 12
88, 1.907646e-07, Current, 1e-06, 12
89, 1.94113e-07, Current, 1e-06, 12
90, 1.943305e-07, Current, 1e-06, 12
91, 1.970701e-07, Current, 1e-06, 12
92, 1.942434e-07, Current, 1e-06, 12
93, 1.935911e-07, Current, 1e-06, 12
94, 1.955045e-07, Current, 1e-06, 12
95, 1.95809e-07, Current, 1e-06, 12
96, 1.955481e-07, Current, 1e-06, 12
97, 1.94113e-07, Current, 1e-06, 12
98, 1.928519e-07, Current, 1e-06, 12
99, 1.974615e-07, Current, 1e-06, 12
100, 1.987661e-07, Current, 1e-06, 12
101, 2.010709e-07, Current, 1e-06, 12
102, 1.992879e-07, Current, 1e-06, 12
103, 1.997228e-07, Current, 1e-06, 12
104, 2.002445e-07, Current, 1e-06, 12
105, 2.003316e-07, Current, 1e-06, 12
106, 1.993749e-07, Current, 1e-06, 12
107, 1.968527e-07, Current, 1e-06, 12
108, 1.942869e-07, Current, 1e-06, 12
109, 1.946348e-07, Current, 1e-06, 12
110, 1.972005e-07, Current, 1e-06, 12
111, 1.932433e-07, Current, 1e-06, 12
112, 1.938086e-07, Current, 1e-06, 12
113, 1.945044e-07, Current, 1e-06, 12
114, 1.925909e-07, Current, 1e-06, 12
115, 1.920691e-07, Current, 1e-06, 12
116, 1.9233e-07, Current, 1e-06, 12
117, 1.905036e-07, Current, 1e-06, 12
118, 1.929388e-07, Current, 1e-06, 12
119, 1.968527e-07, Current, 1e-06, 12
120, 2.014623e-07, Current, 1e-06, 12
121, 2.039845e-07, Current, 1e-06, 12
122, 2.041584e-07, Current, 1e-06, 12
123, 1.998098e-07, Current, 1e-06, 12
124, 1.997663e-07, Current, 1e-06, 12
125, 2.002445e-07, Current, 1e-06, 12
126, 1.990269e-07, Current, 1e-06, 12
127, 1.984181e-07, Current, 1e-06, 12
128, 1.998098e-07, Current, 1e-06, 12
129, 1.98853e-07, Current, 1e-06, 12
130, 1.950697e-07, Current, 1e-06, 12
131, 1.961569e-07, Current, 1e-06, 12
132, 1.979398e-07, Current, 1e-06, 12
133, 1.97244e-07, Current, 1e-06, 12
134, 1.941564e-07, Current, 1e-06, 12
135, 1.949393e-07, Current, 1e-06, 12
136, 1.919822e-07, Current, 1e-06, 12
137, 1.921996e-07, Current, 1e-06, 12
138, 1.927214e-07, Current, 1e-06, 12
139, 1.945479e-07, Current, 1e-06, 12
140, 1.976789e-07, Current, 1e-06, 12
141, 2.003316e-07, Current, 1e-06, 12
142, 2.012882e-07, Current, 1e-06, 12
143, 1.989834e-07, Current, 1e-06, 12
144, 2.030712e-07, Current, 1e-06, 12
145, 1.987226e-07, Current, 1e-06, 12
146, 1.979398e-07, Current, 1e-06, 12
147, 1.983746e-07, Current, 1e-06, 12
148, 2.009839e-07, Current, 1e-06, 12
149, 1.985487e-07, Current, 1e-06, 12
150, 1.973309e-07, Current, 1e-06, 12
151, 1.982007e-07, Current, 1e-06, 12
152, 1.976789e-07, Current, 1e-06, 12
153, 1.970266e-07, Current, 1e-06, 12
154, 1.951132e-07, Current, 1e-06, 12
155, 1.964178e-07, Current, 1e-06, 12
156, 1.943738e-07, Current, 1e-06, 12
157, 1.922431e-07, Current, 1e-06, 12
158, 1.94113e-07, Current, 1e-06, 12
159, 1.931127e-07, Current, 1e-06, 12
160, 1.990269e-07, Current, 1e-06, 12
161, 1.999837e-07, Current, 1e-06, 12
162, 2.032452e-07, Current, 1e-06, 12
163, 2.032452e-07, Current, 1e-06, 12
164, 2.024189e-07, Current, 1e-06, 12
165, 2.028973e-07, Current, 1e-06, 12
166, 1.999837e-07, Current, 1e-06, 12
167, 1.999402e-07, Current, 1e-06, 12
168, 2.003751e-07, Current, 1e-06, 12
169, 1.996792e-07, Current, 1e-06, 12
170, 1.985921e-07, Current, 1e-06, 12
171, 1.982007e-07, Current, 1e-06, 12
172, 1.960264e-07, Current, 1e-06, 12
173, 1.980703e-07, Current, 1e-06, 12
174, 1.950262e-07, Current, 1e-06, 12
175, 1.961133e-07, Current, 1e-06, 12
176, 1.948522e-07, Current, 1e-06, 12
177, 1.941999e-07, Current, 1e-06, 12
178, 1.948957e-07, Current, 1e-06, 12
179, 1.965482e-07, Current, 1e-06, 12
180, 2.012013e-07, Current, 1e-06, 12
181, 2.021146e-07, Current, 1e-06, 12
182, 2.025928e-07, Current, 1e-06, 12
183, 2.061588e-07, Current, 1e-06, 12
184, 2.005055e-07, Current, 1e-06, 12
185, 2.00462e-07, Current, 1e-06, 12
186, 2.014623e-07, Current, 1e-06, 12
187, 2.000271e-07, Current, 1e-06, 12
188, 2.046802e-07, Current, 1e-06, 12
189, 2.02158e-07, Current, 1e-06, 12
190, 2.00462e-07, Current, 1e-06, 12
191, 1.996792e-07, Current, 1e-06, 12
192, 1.972876e-07, Current, 1e-06, 12
193, 1.984181e-07, Current, 1e-06, 12
194, 2.018971e-07, Current, 1e-06, 12
195, 1.97505e-07, Current, 1e-06, 12
196, 1.953741e-07, Current, 1e-06, 12
197, 1.956785e-07, Current, 1e-06, 12
198, 1.952871e-07, Current, 1e-06, 12
199, 1.970266e-07, Current, 1e-06, 12
200, 1.971135e-07, Current, 1e-06, 12
201, 2.019841e-07, Current, 1e-06, 12
202, 2.026799e-07, Current, 1e-06, 12
203, 2.043759e-07, Current, 1e-06, 12
204, 2.040714e-07, Current, 1e-06, 12
205, 2.033757e-07, Current, 1e-06, 12
206, 2.007665e-07, Current, 1e-06, 12
207, 2.026799e-07, Current, 1e-06, 12
208, 2.019405e-07, Current, 1e-06, 12
209, 2.032017e-07, Current, 1e-06, 12
210, 2.019841e-07, Current, 1e-06, 12
211, 2.001141e-07, Current, 1e-06, 12
212, 1.99114e-07, Current, 1e-06, 12
213, 2.011143e-07, Current, 1e-06, 12
214, 1.982442e-07, Current, 1e-06, 12
215, 2.011578e-07, Current, 1e-06, 12
216, 1.992009e-07, Current, 1e-06, 12
217, 1.977223e-07, Current, 1e-06, 12
218, 1.969396e-07, Current, 1e-06, 12
219, 1.924605e-07, Current, 1e-06, 12
220, 1.969396e-07, Current, 1e-06, 12
221, 1.97157e-07, Current, 1e-06, 12
222, 1.995923e-07, Current, 1e-06, 12
223, 2.032452e-07, Current, 1e-06, 12
224, 2.034191e-07, Current, 1e-06, 12
225, 2.037235e-07, Current, 1e-06, 12
226, 2.031148e-07, Current, 1e-06, 12
227, 2.025493e-07, Current, 1e-06, 12
228, 2.03854e-07, Current, 1e-06, 12
229, 2.035061e-07, Current, 1e-06, 12
230, 2.027668e-07, Current, 1e-06, 12
231, 2.049412e-07, Current, 1e-06, 12
232, 2.007665e-07, Current, 1e-06, 12
233, 2.0081e-07, Current, 1e-06, 12
234, 2.012013e-07, Current, 1e-06, 12
235, 1.980268e-07, Current, 1e-06, 12
236, 1.995053e-07, Current, 1e-06, 12
237, 1.964612e-07, Current, 1e-06, 12
238, 1.968961e-07, Current, 1e-06, 12
239, 1.965047e-07, Current, 1e-06, 12
240, 1.978964e-07, Current, 1e-06, 12
241, 1.967222e-07, Current, 1e-06, 12
242, 1.990269e-07, Current, 1e-06, 12
243, 2.012013e-07, Current, 1e-06, 12
244, 2.041149e-07, Current, 1e-06, 12
245, 2.032887e-07, Current, 1e-06, 12
246, 2.052021e-07, Current, 1e-06, 12
247, 2.062023e-07, Current, 1e-06, 12
248, 2.070285e-07, Current, 1e-06, 12
249, 2.031583e-07, Current, 1e-06, 12
250, 2.05376e-07, Current, 1e-06, 12
251, 2.031583e-07, Current, 1e-06, 12
252, 2.025928e-07, Current, 1e-06, 12
253, 1.997228e-07, Current, 1e-06, 12
254, 1.996357e-07, Current, 1e-06, 12
255, 2.011143e-07, Current, 1e-06, 12
256, 2.002445e-07, Current, 1e-06, 12
257, 2.002881e-07, Current, 1e-06, 12
258, 2.023754e-07, Current, 1e-06, 12
259, 1.992444e-07, Current, 1e-06, 12
260, 2.003751e-07, Current, 1e-06, 12
261, 1.985487e-07, Current, 1e-06, 12
262, 1.979398e-07, Current, 1e-06, 12
263, 2.00462e-07, Current, 1e-06, 12
264, 2.000271e-07, Current, 1e-06, 12
265, 2.027668e-07, Current, 1e-06, 12
266, 2.032887e-07, Current, 1e-06, 12
267, 2.058109e-07, Current, 1e-06, 12
268, 2.062023e-07, Current, 1e-06, 12
269, 2.056805e-07, Current, 1e-06, 12
270, 2.039845e-07, Current, 1e-06, 12
271, 2.058109e-07, Current, 1e-06, 12
272, 2.065936e-07, Current, 1e-06, 12
273, 2.043759e-07, Current, 1e-06, 12
274, 2.032452e-07, Current, 1e-06, 12
275, 2.031583e-07, Current, 1e-06, 12
276, 2.001576e-07, Current, 1e-06, 12
277, 2.032017e-07, Current, 1e-06, 12
278, 1.990269e-07, Current, 1e-06, 12
279, 1.975484e-07, Current, 1e-06, 12
280, 1.978529e-07, Current, 1e-06, 12
281, 2.015927e-07, Current, 1e-06, 12
282, 1.983746e-07, Current, 1e-06, 12
283, 1.998098e-07, Current, 1e-06, 12
284, 1.990269e-07, Current, 1e-06, 12
285, 1.988965e-07, Current, 1e-06, 12
286, 2.051586e-07, Current, 1e-06, 12
287, 2.051586e-07, Current, 1e-06, 12
288, 2.066371e-07, Current, 1e-06, 12
289, 2.08768e-07, Current, 1e-06, 12
290, 2.065501e-07, Current, 1e-06, 12
291, 2.080722e-07, Current, 1e-06, 12
292, 2.055935e-07, Current, 1e-06, 12
293, 2.047237e-07, Current, 1e-06, 12
294, 2.041584e-07, Current, 1e-06, 12
295, 2.055935e-07, Current, 1e-06, 12
296, 2.019841e-07, Current, 1e-06, 12
297, 2.024624e-07, Current, 1e-06, 12
298, 2.021146e-07, Current, 1e-06, 12
299, 1.999837e-07, Current, 1e-06, 12
300, 1.99114e-07, Current, 1e-06, 12
301, 2.015492e-07, Current, 1e-06, 12
302, 2.001141e-07, Current, 1e-06, 12
303, 1.995923e-07, Current, 1e-06, 12
304, 1.998967e-07, Current, 1e-06, 12
305, 1.998967e-07, Current, 1e-06, 12
306, 1.991575e-07, Current, 1e-06, 12
307, 2.02245e-07, Current, 1e-06, 12
308, 2.076808e-07, Current, 1e-06, 12
309, 2.0842e-07, Current, 1e-06, 12
310, 2.080722e-07, Current, 1e-06, 12
311, 2.066807e-07, Current, 1e-06, 12
312, 2.075069e-07, Current, 1e-06, 12
313, 2.048107e-07, Current, 1e-06, 12
314, 2.046802e-07, Current, 1e-06, 12
315, 2.074634e-07, Current, 1e-06, 12
316, 2.058544e-07, Current, 1e-06, 12
317, 2.063327e-07, Current, 1e-06, 12
318, 2.018536e-07, Current, 1e-06, 12
319, 2.02332e-07, Current, 1e-06, 12
320, 2.020276e-07, Current, 1e-06, 12
321, 2.018101e-07, Current, 1e-06, 12
322, 2.021146e-07, Current, 1e-06, 12
323, 2.043759e-07, Current, 1e-06, 12
324, 1.985921e-07, Current, 1e-06, 12
325, 1.975484e-07, Current, 1e-06, 12
326, 1.98853e-07, Current, 1e-06, 12
327, 1.992444e-07, Current, 1e-06, 12
328, 2.011578e-07, Current, 1e-06, 12
329, 2.035061e-07, Current, 1e-06, 12
330, 2.064632e-07, Current, 1e-06, 12
331, 2.100726e-07, Current, 1e-06, 12
332, 2.098117e-07, Current, 1e-06, 12
333, 2.083331e-07, Current, 1e-06, 12
334, 2.09029e-07, Current, 1e-06, 12
335, 2.097682e-07, Current, 1e-06, 12
336, 2.092029e-07, Current, 1e-06, 12
337, 2.085941e-07, Current, 1e-06, 12
338, 2.042453e-07, Current, 1e-06, 12
339, 2.029408e-07, Current, 1e-06, 12
340, 2.044628e-07, Current, 1e-06, 12
341, 2.048976e-07, Current, 1e-06, 12
342, 2.047237e-07, Current, 1e-06, 12
343, 2.042888e-07, Current, 1e-06, 12
344, 2.042888e-07, Current, 1e-06, 12
345, 2.015057e-07, Current, 1e-06, 12
346, 2.00636e-07, Current, 1e-06, 12
347, 2.007229e-07, Current, 1e-06, 12
348, 1.981138e-07, Current, 1e-06, 12
349, 2.019841e-07, Current, 1e-06, 12
350, 2.025928e-07, Current, 1e-06, 12
351, 2.083331e-07, Current, 1e-06, 12
352, 2.09029e-07, Current, 1e-06, 12
353, 2.078548e-07, Current, 1e-06, 12
354, 2.096811e-07, Current, 1e-06, 12
355, 2.074199e-07, Current, 1e-06, 12
356, 2.057674e-07, Current, 1e-06, 12
357, 2.063762e-07, Current, 1e-06, 12
358, 2.081157e-07, Current, 1e-06, 12
359, 2.076808e-07, Current, 1e-06, 12
360, 2.0555e-07, Current, 1e-06, 12
361, 2.043324e-07, Current, 1e-06, 12
362, 2.031583e-07, Current, 1e-06, 12
363, 2.042019e-07, Current, 1e-06, 12
364, 2.018536e-07, Current, 1e-06, 12
365, 2.017666e-07, Current, 1e-06, 12
366, 1.992879e-07, Current, 1e-06, 12
367, 2.012882e-07, Current, 1e-06, 12
368, 2.035061e-07, Current, 1e-06, 12
369, 1.977223e-07, Current, 1e-06, 12
370, 1.999837e-07, Current, 1e-06, 12
371, 2.078112e-07, Current, 1e-06, 12
372, 2.115946e-07, Current, 1e-06, 12
373, 2.115512e-07, Current, 1e-06, 12
374, 2.091159e-07, Current, 1e-06, 12
375, 2.069416e-07, Current, 1e-06, 12
376, 2.0842e-07, Current, 1e-06, 12
377, 2.100726e-07, Current, 1e-06, 12
378, 2.042019e-07, Current, 1e-06, 12
379, 2.058544e-07, Current, 1e-06, 12
380, 2.062893e-07, Current, 1e-06, 12
381, 2.048107e-07, Current, 1e-06, 12
382, 2.068111e-07, Current, 1e-06, 12
383, 2.058979e-07, Current, 1e-06, 12
384, 2.02245e-07, Current, 1e-06, 12
385, 2.043759e-07, Current, 1e-06, 12
386, 2.021146e-07, Current, 1e-06, 12
387, 2.0368e-07, Current, 1e-06, 12
388, 2.034626e-07, Current, 1e-06, 12
389, 1.996792e-07, Current, 1e-06, 12
390, 2.023754e-07, Current, 1e-06, 12
391, 2.048107e-07, Current, 1e-06, 12
392, 2.076808e-07, Current, 1e-06, 12
