X,"2,8",2,"1,6","2,5",light-ideal,light-low,light-estrapolated,light-mixed,out-1,out-2,out-3
"0,3","1,114314938","1,192046434","1,249669149","0,9540928152",1,1,1,1,"76,92307692","83,33333333","90,90909091"
"0,2","51,75396906","33,89901836","36,97752289","30,35808866","0,631","0,6350410333","0,669494596","0,6694945955","52,63157895","55,55555556","62,5"
"0,1","9,154184484","9,51879889","9,234026174","10,28985163","0,5012","0,43016619","0,529934399","0,5299343992","41,66666667","45,45454545",50
0,"9,932390985","9,548144741","10,39986031","9,708744335","0,3981","0,43819421","0,439086436","0,4390864361","37,03703704",40,"43,47826087"
"-0,1","9,781889764","9,211096333","10,29570776","9,497599232","0,3162","0,3722627901","0,36653339","0,3665333899","31,25","33,33333333","37,03703704"
"-0,2","9,244301578","8,149039693","8,69722708","8,868738864","0,2512","0,3085317768","0,309115739","0,3091157394","27,02702703","28,57142857","31,25"
"-0,3","8,054315676","6,485998526","7,611093799","7,985149828","0,1","0,1411364081","0,15","0,15","14,08450704","14,70588235","16,12903226"
,,,,,"0,0631","0,09956351112","0,100424189","0,1004241893","9,615384615","10,1010101","10,98901099"
,,,,,"0,05012","0,08083997014","0,07949016","0,07949015987","7,575757576","8,064516129","9,009009009"
,,,,,"0,03981","0,07538932814","0,065862965","0,06586296542","6,849315068","7,246376812","8,130081301"
,,,,,"0,03162","0,06424293896","0,054980008","0,05498000848","5,882352941","6,25","6,993006993"
,,,,,"0,02512","0,05444227568","0,046367361","0,04636736091","5,050505051","5,434782609","6,024096386"
,,,,,"0,01","0,02747524863","0,0225","0,02747524863","2,717391304","2,923976608","3,194888179"
,,,,,"0,00631","0,01808690652","0,015063628","0,01808690652","1,821493625","1,941747573","2,145922747"
,,,,,"0,005012","0,01486160958","0,011923524","0,01486160958","1,46627566","1,560062402","1,721170396"
,,,,,"0,003981","0,01400549514","0,009879445","0,01400549514","1,406469761","1,485884101","1,639344262"
,,,,,"0,003162","0,01224528307","0,008247001","0,01224528307","1,152073733","1,291989664","1,410437236"
,,,,,"0,002512","0,01012201655","0,006955104","0,01012201655","1,035196687","1,146788991","1,240694789"
,,,,,"0,001","0,005740353052","0,003375","0,005740353052","0,6734006734","0,723065799","0,7788161994"
,,,,,"0,000631","0,003784533196","0,002259544","0,003784533196","0,4464285714","0,4852013586","0,5235602094"
,,,,,"0,0005012","0,002996127477","0,001788529","0,002996127477","0,3517411185","0,3852080123","0,4215851602"
,,,,,"0,0003981","0,003489266005","0,001481917","0,003489266005","0,3428179637","0,3769317753","0,4091653028"
,,,,,"0,0003162","0,003017253674","0,00123705","0,003017253674","0,2955956252","0,333000333","0,3546099291"
,,,,,"0,0002512","0,002616619832","0,001043266","0,002616619832","0,254906959","0,286615076","0,3105590062"
,,,,,"0,0001","0,001408311656","0,00050625","0,001408311656","0,141023833","0,1559819061","0,1676164935"
,,,,,"0,0000631","0,0008870048897","0,000338932","0,0008870048897","0,09223390518","0,1065416578","0,1129177958"
,,,,,"0,00005012","0,0006721095682","0,000268279","0,0006721095682","0,07446570854","0,08552856654","0,08986340762"
,,,,,"0,00003981","0,0006903527066","0,000222288","0,0006903527066","0,07359976448","0,08667764584","0,08774238835"
,,,,,"0,00003162","0,0006023237849","0,000185558","0,0006023237849","0,06354451293","0,07192692225","0,08171269815"
,,,,,"0,00002512","0,000524171366","0,00015649","0,000524171366","0,05611672278","0,07681671532","0,06712310377"
